ACCESSION	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION	TargetID	SYMBOL	
NM_032819	NaN	NaN	NaN	NaN	0.31	-1.68	0.43	-1.23	Homo sapiens zinc finger protein 341 (ZNF341), mRNA.	ILMN_17400	ZNF341	
NM_152573	0.54	-0.89	0.41	-1.27	0.89	-0.17	1.03	0.04	Homo sapiens RAS and EF-hand domain containing (RASEF), mRNA.	ILMN_17414	RASEF	
NM_139242	NaN	NaN	NaN	NaN	1.29	0.36	1.1	0.13	Homo sapiens mitochondrial methionyl-tRNA formyltransferase (MTFMT), mRNA.	ILMN_17415	MTFMT	
NM_018060	NaN	NaN	NaN	NaN	0.63	-0.68	0.75	-0.41	Homo sapiens isoleucine-tRNA synthetase 2, mitochondrial (IARS2), mRNA.	ILMN_17420	IARS2	
NM_201265	0.53	-0.93	0.53	-0.91	0.63	-0.67	0.61	-0.71	Homo sapiens ubiquitin-like 7 (bone marrow stromal cell-derived) (UBL7), transcript variant 2, mRNA.	ILMN_17432	UBL7	
NM_016286	0.33	-1.59	0.7	-0.51	0.57	-0.82	0.6	-0.74	Homo sapiens dicarbonyl/L-xylulose reductase (DCXR), mRNA.	ILMN_17437	DCXR	
NM_001018068	1.11	0.15	1.06	0.09	0.87	-0.2	0.95	-0.08	Homo sapiens SERPINE1 mRNA binding protein 1 (SERBP1), transcript variant 2, mRNA.	ILMN_17444	SERBP1	
NM_016326	0.56	-0.83	0.53	-0.91	1.09	0.13	1.12	0.16	Homo sapiens chemokine-like factor (CKLF), transcript variant 3, mRNA.	ILMN_17455	CKLF	
NM_003107	9.64	3.27	5.21	2.38	6.4	2.68	6.55	2.71	Homo sapiens SRY (sex determining region Y)-box 4 (SOX4), mRNA.	ILMN_17456	SOX4	
NM_004099	1.57	0.65	1.48	0.56	1.24	0.31	1.26	0.34	Homo sapiens stomatin (STOM), transcript variant 1, mRNA.	ILMN_17469	STOM	
NM_032199	2.23	1.16	2.14	1.1	1.14	0.19	1.22	0.28	Homo sapiens AT rich interactive domain 5B (MRF1-like) (ARID5B), mRNA.	ILMN_17477	ARID5B	
NM_000593.5	27.19	4.76	21.03	4.39	5.79	2.53	4.19	2.07	Homo sapiens transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) (TAP1), mRNA.	ILMN_17479	TAP1	
NM_003873	3.41	1.77	3.33	1.74	1.13	0.17	0.77	-0.38	Homo sapiens neuropilin 1 (NRP1), transcript variant 1, mRNA.	ILMN_17483	NRP1	
NM_005678	0.39	-1.37	0.37	-1.43	0.92	-0.12	0.74	-0.43	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA.	ILMN_17485	SNURF	
NM_1532538	1.15	0.2	1.14	0.19	2.06	1.04	1.91	0.93	Homo sapiens signal-induced proliferation-associated gene 1 (SIPA1), transcript variant 1, mRNA.	ILMN_17494	SIPA1	
NM_020150	0.95	-0.08	0.91	-0.14	0.64	-0.63	0.78	-0.36	Homo sapiens SAR1 gene homolog A (S. cerevisiae) (SAR1A), mRNA.	ILMN_17495	SAR1A	
NM_020684	0.56	-0.83	0.74	-0.43	0.87	-0.2	1.07	0.1	Homo sapiens rhomboid domain containing 2 (RHBDD2), mRNA.	ILMN_17498	RHBDD2	
NM_145111	0.85	-0.23	0.89	-0.16	0.84	-0.25	1.2	0.26	Homo sapiens hypothetical protein DKFZp727G131 (DKFZp727G131), mRNA.	ILMN_17500	DKFZp727G131	
NM_032026	0.82	-0.28	0.74	-0.43	0.73	-0.46	0.79	-0.35	Homo sapiens TatD DNase domain containing 1 (TATDN1), mRNA.	ILMN_17501	TATDN1	
NM_021134	0.58	-0.78	0.77	-0.39	0.92	-0.12	0.99	-0.01	Homo sapiens mitochondrial ribosomal protein L23 (MRPL23), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_17506	MRPL23	
NM_178313	2.31	1.21	1.98	0.99	1.24	0.31	0.8	-0.33	Homo sapiens spectrin, beta, non-erythrocytic 1 (SPTBN1), transcript variant 2, mRNA.	ILMN_17508	SPTBN1	
NM_020457	0.73	-0.45	0.79	-0.34	1.03	0.04	1.42	0.51	Homo sapiens THAP domain containing 11 (THAP11), mRNA.	ILMN_17509	THAP11	
NM_006515	1.21	0.28	1.28	0.35	1.18	0.24	0.91	-0.13	Homo sapiens SET domain and mariner transposase fusion gene (SETMAR), mRNA.	ILMN_17510	SETMAR	
NM_020701	1.17	0.23	1.18	0.24	0.93	-0.1	0.88	-0.18	Homo sapiens KIAA1160 protein (KIAA1160), mRNA.	ILMN_17522	KIAA1160	
NM_001008395	0.76	-0.4	0.75	-0.42	0.92	-0.12	0.86	-0.21	Homo sapiens similar to CG14977-PA (LOC389541), mRNA.	ILMN_17527	LOC389541	
NM_003904	1.06	0.09	1.01	0.01	1.64	0.71	1.85	0.89	Homo sapiens zinc finger protein 259 (ZNF259), mRNA.	ILMN_17539	ZNF259	
NM_183382	0.88	-0.19	0.91	-0.14	0.65	-0.62	0.6	-0.73	Homo sapiens ring finger protein 13 (RNF13), transcript variant 2, mRNA.	ILMN_1754	RNF13	
NM_138285	2.24	1.17	1.42	0.51	0.59	-0.75	0.74	-0.44	Homo sapiens nucleoporin 35kDa (NUP35), transcript variant 1, mRNA.	ILMN_17545	NUP35	
NM_005532	1.3	0.38	2.27	1.18	10.29	3.36	13.31	3.73	Homo sapiens interferon, alpha-inducible protein 27 (IFI27), mRNA.	ILMN_17548	IFI27	
NM_006963	1.03	0.05	1.84	0.88	0.94	-0.09	0.77	-0.38	Homo sapiens zinc finger protein 22 (KOX 15) (ZNF22), mRNA.	ILMN_17550	ZNF22	
NM_033363	0.58	-0.79	0.89	-0.16	0.99	-0.02	0.96	-0.05	Homo sapiens mitochondrial ribosomal protein S12 (MRPS12), nuclear gene encoding mitochondrial protein, transcript variant 3, mRNA.	ILMN_17557	MRPS12	
NM_147133	0.74	-0.43	0.67	-0.58	0.94	-0.1	1.27	0.34	Homo sapiens nuclear transcription factor, X-box binding 1 (NFX1), transcript variant 2, mRNA.	ILMN_17577	NFX1	
NM_003944	NaN	NaN	0.61	-0.72	NaN	NaN	NaN	NaN	Homo sapiens selenium binding protein 1 (SELENBP1), mRNA.	ILMN_17578	SELENBP1	
NM_152713	0.87	-0.2	0.77	-0.38	0.52	-0.96	0.62	-0.7	Homo sapiens STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae) (STT3A), mRNA.	ILMN_17585	STT3A	
NM_005175	0.84	-0.26	1.01	0.02	1.85	0.89	1.2	0.26	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9) (ATP5G1), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	ILMN_1759	ATP5G1	
NM_212539	1.76	0.82	1.19	0.25	1.87	0.91	1.86	0.89	Homo sapiens protein kinase C, delta (PRKCD), transcript variant 2, mRNA.	ILMN_17591	PRKCD	
NM_000260	0.8	-0.33	0.59	-0.75	0.63	-0.66	0.66	-0.6	Homo sapiens myosin VIIA (MYO7A), mRNA.	ILMN_17593	MYO7A	
NM_001017927	NaN	NaN	NaN	NaN	NaN	NaN	0.92	-0.12	Homo sapiens hypothetical protein LOC130355 (LOC130355), mRNA.	ILMN_17594	LOC130355	
NM_181652	1.17	0.23	1.08	0.11	0.74	-0.44	0.76	-0.4	Homo sapiens peroxiredoxin 5 (PRDX5), nuclear gene encoding mitochondrial protein, transcript variant 3, mRNA.	ILMN_17596	PRDX5	
NM_000690	0.59	-0.76	0.91	-0.14	NaN	NaN	NaN	NaN	Homo sapiens aldehyde dehydrogenase 2 family (mitochondrial) (ALDH2), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_17598	ALDH2	
NM_000346	1.57	0.65	2.78	1.48	0.77	-0.38	NaN	NaN	Homo sapiens SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal) (SOX9), mRNA.	ILMN_17599	SOX9	
NM_033161	0.89	-0.16	1.14	0.18	0.63	-0.68	1.02	0.03	Homo sapiens surfeit 4 (SURF4), mRNA.	ILMN_1760	SURF4	
NM_030593	NaN	NaN	NaN	NaN	NaN	NaN	0.88	-0.19	Homo sapiens sirtuin (silent mating type information regulation 2 homolog) 2 (S. cerevisiae) (SIRT2), transcript variant 2, mRNA.	ILMN_17601	SIRT2	
NM_016147	0.92	-0.12	1.05	0.07	1.2	0.27	1.08	0.11	Homo sapiens protein phosphatase methylesterase 1 (PPME1), mRNA.	ILMN_17607	PPME1	
NM_003257	0.99	-0.01	1.16	0.21	1.33	0.41	1.35	0.43	Homo sapiens tight junction protein 1 (zona occludens 1) (TJP1), transcript variant 1, mRNA.	ILMN_17610	TJP1	
NM_015996	0.95	-0.07	1.18	0.24	1.22	0.28	1.04	0.06	Homo sapiens SID1 transmembrane family, member 2 (SIDT2), mRNA.	ILMN_17616	SIDT2	
NM_138720	0.72	-0.48	1.21	0.28	1.69	0.76	2.27	1.18	Homo sapiens histone 1, H2bd (HIST1H2BD), transcript variant 2, mRNA.	ILMN_17622	HIST1H2BD	
NM_003139	1.01	0.01	1.08	0.11	0.76	-0.39	1.02	0.03	Homo sapiens signal recognition particle receptor ('docking protein') (SRPR), mRNA.	ILMN_17625	SRPR	
NM_001867	0.63	-0.66	0.89	-0.17	1.02	0.03	1.11	0.14	Homo sapiens cytochrome c oxidase subunit VIIc (COX7C), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_17626	COX7C	
NM_139179	0.88	-0.18	0.68	-0.55	1.7	0.77	1.4	0.48	Homo sapiens KCCR13L (LOC221955), mRNA.	ILMN_1764	LOC221955	
NM_024519	1.78	0.83	1.44	0.52	1.8	0.85	1.43	0.52	Homo sapiens family with sequence similarity 65, member A (FAM65A), mRNA.	ILMN_17641	FAM65A	
NM_024578	0.5	-1	0.67	-0.58	0.72	-0.46	0.85	-0.24	Homo sapiens hypothetical protein FLJ22709 (FLJ22709), mRNA.	ILMN_17644	FLJ22709	
NM_032368	0.8	-0.33	0.95	-0.07	1.25	0.32	1.42	0.51	Homo sapiens leucine zipper and CTNNBIP1 domain containing (LZIC), mRNA.	ILMN_17648	LZIC	
NM_001921	NaN	NaN	NaN	NaN	1.16	0.21	1.06	0.08	Homo sapiens dCMP deaminase (DCTD), transcript variant 2, mRNA.	ILMN_17664	DCTD	
NM_015935	1.37	0.46	1.51	0.59	0.76	-0.4	0.69	-0.53	Homo sapiens KIAA0859 (KIAA0859), transcript variant 1, mRNA.	ILMN_17670	KIAA0859	
NM_004288	1.08	0.11	1.5	0.59	1.91	0.93	1.66	0.73	Homo sapiens pleckstrin homology, Sec7 and coiled-coil domains, binding protein (PSCDBP), mRNA.	ILMN_17672	PSCDBP	
NM_017631	3.08	1.63	8.26	3.05	NaN	NaN	NaN	NaN	Homo sapiens hypothetical protein FLJ20035 (FLJ20035), mRNA.	ILMN_17673	FLJ20035	
NM_022748	0.96	-0.06	2.47	1.3	0.75	-0.41	0.37	-1.42	Homo sapiens tensin 3 (TNS3), mRNA.	ILMN_17676	TNS3	
NM_020123	1.2	0.27	1.15	0.2	0.71	-0.49	0.6	-0.74	Homo sapiens SM-11044 binding protein (SMBP), mRNA.	ILMN_17679	SMBP	
NM_014341	0.78	-0.36	0.71	-0.49	1.31	0.39	1.23	0.3	Homo sapiens mitochondrial carrier homolog 1 (C. elegans) (MTCH1), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_17681	MTCH1	
NM_000201	55.97	5.81	41.27	5.37	11.28	3.5	3.37	1.75	Homo sapiens intercellular adhesion molecule 1 (CD54), human rhinovirus receptor (ICAM1), mRNA.	ILMN_17682	ICAM1	
NM_002720	1.32	0.4	0.99	-0.01	1.11	0.14	1.09	0.12	Homo sapiens protein phosphatase 4 (formerly X), catalytic subunit (PPP4C), mRNA.	ILMN_17685	PPP4C	
NM_007259	0.56	-0.85	0.52	-0.95	0.79	-0.34	0.67	-0.59	Homo sapiens vacuolar protein sorting 45A (yeast) (VPS45A), mRNA.	ILMN_17689	VPS45A	
NM_006764	1.23	0.3	1.27	0.34	0.82	-0.29	1	0.01	Homo sapiens interferon-related developmental regulator 2 (IFRD2), mRNA.	ILMN_17691	IFRD2	
NR_002197	1.6	0.67	1.41	0.5	1.48	0.57	1.56	0.64	Homo sapiens RNA binding motif protein, X-linked pseudogene (LOC143543) on chromosome 11.	ILMN_17694	LOC143543	
NM_004832	0.48	-1.05	0.71	-0.5	0.46	-1.14	0.48	-1.07	Homo sapiens glutathione S-transferase omega 1 (GSTO1), mRNA.	ILMN_17696	GSTO1	
NM_148918	0.47	-1.08	0.79	-0.35	0.67	-0.57	0.75	-0.42	Homo sapiens serine hydroxymethyltransferase 1 (soluble) (SHMT1), transcript variant 2, mRNA.	ILMN_17710	SHMT1	
NM_002796	1.16	0.22	1.06	0.09	0.94	-0.09	0.97	-0.04	Homo sapiens proteasome (prosome, macropain) subunit, beta type, 4 (PSMB4), mRNA.	ILMN_17711	PSMB4	
NM_005828	1.11	0.15	0.96	-0.06	0.8	-0.33	0.92	-0.13	Homo sapiens WD repeat domain 68 (WDR68), transcript variant 1, mRNA.	ILMN_17716	WDR68	
NM_004447	NaN	NaN	NaN	NaN	1.11	0.15	0.69	-0.55	Homo sapiens epidermal growth factor receptor pathway substrate 8 (EPS8), mRNA.	ILMN_17717	EPS8	
NM_017927	1.21	0.27	0.82	-0.28	1.23	0.3	0.99	-0.02	Homo sapiens mitofusin 1 (MFN1), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	ILMN_17727	MFN1	
NM_001010871	NaN	NaN	NaN	NaN	NaN	NaN	1.03	0.05	Homo sapiens hypothetical protein LOC221442 (LOC221442), mRNA.	ILMN_1773	LOC221442	
NM_016001	1.67	0.74	1.46	0.54	1.59	0.67	1.66	0.73	Homo sapiens WD repeat domain 50 (WDR50), mRNA.	ILMN_17736	WDR50	
NM_018992	1.6	0.68	1.49	0.57	0.83	-0.28	0.7	-0.51	Homo sapiens potassium channel tetramerisation domain containing 5 (KCTD5), mRNA.	ILMN_17737	KCTD5	
NM_018449	1.12	0.16	1.21	0.28	1.25	0.33	1.24	0.32	Homo sapiens ubiquitin associated protein 2 (UBAP2), mRNA.	ILMN_17739	UBAP2	
NM_001001551	0.18	-2.44	0.73	-0.46	1.17	0.23	1.02	0.02	Homo sapiens chromosome 9 open reading frame 103 (C9orf103), mRNA.	ILMN_17768	C9orf103	
NM_032775	0.5	-1	0.55	-0.85	0.76	-0.4	0.68	-0.56	Homo sapiens kelch-like 22 (Drosophila) (KLHL22), mRNA.	ILMN_17770	KLHL22	
NM_052951	0.74	-0.43	0.73	-0.44	0.82	-0.29	0.82	-0.29	Homo sapiens deoxynucleotidyltransferase, terminal, interacting protein 1 (DNTTIP1), mRNA.	ILMN_17783	DNTTIP1	
NM_003057	0.74	-0.44	0.87	-0.2	0.16	-2.64	0.12	-3.12	Homo sapiens solute carrier family 22 (organic cation transporter), member 1 (SLC22A1), transcript variant 1, mRNA.	ILMN_17786	SLC22A1	
NM_001623	0.6	-0.73	0.9	-0.15	0.98	-0.03	0.95	-0.07	Homo sapiens allograft inflammatory factor 1 (AIF1), transcript variant 3, mRNA.	ILMN_17792	AIF1	
NM_023012	1.65	0.72	1.3	0.37	1.04	0.05	1.13	0.17	Homo sapiens similar to splicing factor, arginine/serine-rich 4 (FLJ11021), transcript variant 1, mRNA.	ILMN_17793	FLJ11021	
NM_002246	1.35	0.43	1.23	0.3	1.05	0.07	1.01	0.01	Homo sapiens potassium channel, subfamily K, member 3 (KCNK3), mRNA.	ILMN_17799	KCNK3	
NM_015102	NaN	NaN	NaN	NaN	0.86	-0.22	0.93	-0.1	Homo sapiens nephronophthisis 4 (NPHP4), mRNA.	ILMN_17800	NPHP4	
NM_207393	1.47	0.56	1.55	0.64	0.73	-0.45	NaN	NaN	Homo sapiens insulin growth factor-like family member 3 (IGFL3), mRNA.	ILMN_17801	IGFL3	
NM_001011663	1.34	0.42	NaN	NaN	NaN	NaN	NaN	NaN	Homo sapiens polycomb group ring finger 6 (PCGF6), transcript variant 1, mRNA.	ILMN_17815	PCGF6	
NM_015897	1.01	0.02	1.05	0.07	1.33	0.41	1.14	0.19	Homo sapiens protein inhibitor of activated STAT, 4 (PIAS4), mRNA.	ILMN_17822	PIAS4	
NM_030918.5	0.79	-0.35	0.61	-0.71	1.2	0.27	1.15	0.2	Homo sapiens sorting nexin family member 27 (SNX27), mRNA.	ILMN_17828	SNX27	
NM_006287	1.34	0.42	1.16	0.21	1.5	0.58	1.42	0.51	Homo sapiens tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) (TFPI), transcript variant 1, mRNA.	ILMN_17834	TFPI	
NM_021075	1.47	0.55	1.14	0.18	0.9	-0.15	1.86	0.89	Homo sapiens NADH dehydrogenase (ubiquinone) flavoprotein 3, 10kDa (NDUFV3), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	ILMN_17835	NDUFV3	
NM_014007	1.34	0.42	1.33	0.41	1.3	0.37	1.22	0.29	Homo sapiens zinc finger protein 297B (ZNF297B), mRNA.	ILMN_17837	ZNF297B	
NM_018465	7.36	2.88	4.65	2.22	0.79	-0.35	0.72	-0.48	Homo sapiens chromosome 9 open reading frame 46 (C9orf46), mRNA.	ILMN_17839	C9orf46	
NM_020696	0.88	-0.18	0.67	-0.59	0.92	-0.12	0.92	-0.12	Homo sapiens KIAA1143 (KIAA1143), mRNA.	ILMN_17840	KIAA1143	
NM_032360	0.63	-0.67	0.58	-0.78	0.84	-0.25	0.75	-0.42	Homo sapiens acyl-Coenzyme A binding domain containing 6 (ACBD6), mRNA.	ILMN_17842	ACBD6	
NM_152352	1.06	0.08	0.93	-0.11	1.39	0.47	1.55	0.63	Homo sapiens chromosome 18 open reading frame 19 (C18orf19), mRNA.	ILMN_17843	C18orf19	
NM_016649	0.99	-0.01	0.88	-0.19	0.97	-0.04	0.99	-0.01	Homo sapiens chromosome 20 open reading frame 6 (C20orf6), mRNA.	ILMN_17845	C20orf6	
NM_019012	0.26	-1.92	0.45	-1.16	0.74	-0.43	0.66	-0.6	Homo sapiens pleckstrin homology domain containing, family A member 5 (PLEKHA5), mRNA.	ILMN_17847	PLEKHA5	
NM_005667	1.13	0.18	0.81	-0.31	1.41	0.5	1.47	0.55	Homo sapiens ring finger protein 103 (RNF103), mRNA.	ILMN_17861	RNF103	
NM_005178	2.65	1.41	2.41	1.27	0.8	-0.33	0.93	-0.1	Homo sapiens B-cell CLL/lymphoma 3 (BCL3), mRNA.	ILMN_17874	BCL3	
NM_021211	1.19	0.25	1.33	0.41	1.07	0.1	0.76	-0.39	Homo sapiens transposon-derived Buster1 transposase-like protein gene (LOC58486), mRNA.	ILMN_17879	LOC58486	
NM_001010924	0.45	-1.16	0.37	-1.43	1.32	0.4	1.02	0.03	Homo sapiens chromosome 10 open reading frame 38 (C10orf38), mRNA.	ILMN_17888	C10orf38	
NM_001031812	1.12	0.16	0.8	-0.32	1.06	0.08	1.2	0.26	Homo sapiens casein kinase 1, gamma 3 (CSNK1G3), transcript variant 2, mRNA.	ILMN_17895	CSNK1G3	
NM_012322	0.36	-1.46	0.41	-1.29	0.55	-0.87	0.7	-0.51	Homo sapiens LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae) (LSM5), mRNA.	ILMN_17896	LSM5	
NM_020962	NaN	NaN	NaN	NaN	0.96	-0.06	0.58	-0.78	Homo sapiens likely ortholog of mouse neighbor of Punc E11 (NOPE), mRNA.	ILMN_17897	NOPE	
NM_005997	0.52	-0.93	0.55	-0.86	1.12	0.16	1	-0.01	Homo sapiens vacuolar protein sorting 72 (yeast) (VPS72), mRNA.	ILMN_17901	VPS72	
NM_014251	0.73	-0.46	0.74	-0.43	0.54	-0.88	0.69	-0.53	Homo sapiens solute carrier family 25, member 13 (citrin) (SLC25A13), mRNA.	ILMN_17903	SLC25A13	
NM_001379	0.92	-0.12	0.95	-0.07	1.08	0.12	1.11	0.15	Homo sapiens DNA (cytosine-5-)-methyltransferase 1 (DNMT1), mRNA.	ILMN_17904	DNMT1	
NM_032333	NaN	NaN	NaN	NaN	1.02	0.03	0.56	-0.85	Homo sapiens chromosome 10 open reading frame 58 (C10orf58), mRNA.	ILMN_17906	C10orf58	
NM_002912	NaN	NaN	NaN	NaN	1.11	0.15	1.22	0.29	Homo sapiens REV3-like, catalytic subunit of DNA polymerase zeta (yeast) (REV3L), mRNA.	ILMN_17913	REV3L	
NM_007001	0.47	-1.1	0.68	-0.55	0.68	-0.57	0.81	-0.31	Homo sapiens solute carrier family 35, member D2 (SLC35D2), mRNA.	ILMN_17915	SLC35D2	
NM_004341	0.47	-1.08	0.57	-0.81	0.78	-0.37	0.61	-0.7	Homo sapiens carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase (CAD), mRNA.	ILMN_1793	CAD	
NM_012311	1.35	0.43	1.27	0.34	NaN	NaN	NaN	NaN	Homo sapiens KIN, antigenic determinant of recA protein homolog (mouse) (KIN), mRNA.	ILMN_17930	KIN	
NM_015914.5	1.02	0.03	1	-0.01	NaN	NaN	NaN	NaN	Homo sapiens thioredoxin domain containing 11 (TXNDC11), mRNA.	ILMN_17937	TXNDC11	
NM_004157	1.19	0.25	0.64	-0.63	0.92	-0.12	0.91	-0.14	Homo sapiens protein kinase, cAMP-dependent, regulatory, type II, alpha (PRKAR2A), mRNA.	ILMN_17938	PRKAR2A	
NM_019075	0.61	-0.72	0.52	-0.93	NaN	NaN	NaN	NaN	Homo sapiens UDP glucuronosyltransferase 1 family, polypeptide A10 (UGT1A10), mRNA.	ILMN_17939	UGT1A10	
NM_000412	0.47	-1.09	0.74	-0.44	0.04	-4.68	0.02	-5.36	Homo sapiens histidine-rich glycoprotein (HRG), mRNA.	ILMN_17942	HRG	
NM_001320.5	0.9	-0.15	0.85	-0.23	0.93	-0.1	0.93	-0.1	Homo sapiens casein kinase 2, beta polypeptide (CSNK2B), mRNA.	ILMN_17943	CSNK2B	
NM_004652	0.9	-0.16	0.92	-0.12	0.96	-0.06	0.96	-0.06	Homo sapiens ubiquitin specific peptidase 9, X-linked (fat facets-like, Drosophila) (USP9X), transcript variant 1, mRNA.	ILMN_17946	USP9X	
NM_181427	2.76	1.46	1.97	0.98	1.34	0.42	1.67	0.74	Homo sapiens GA binding protein transcription factor, beta subunit 2 (GABPB2), transcript variant gamma-3, mRNA.	ILMN_17949	GABPB2	
NM_004068	0.68	-0.56	0.75	-0.41	1.04	0.05	0.9	-0.16	Homo sapiens adaptor-related protein complex 2, mu 1 subunit (AP2M1), transcript variant 1, mRNA.	ILMN_1795	AP2M1	
NM_024032	NaN	NaN	NaN	NaN	0.74	-0.43	0.74	-0.44	Homo sapiens chromosome 17 open reading frame 53 (C17orf53), mRNA.	ILMN_17950	C17orf53	
NM_183241	NaN	NaN	0.54	-0.9	0.55	-0.87	0.63	-0.67	Homo sapiens chromosome 9 open reading frame 142 (C9orf142), mRNA.	ILMN_17952	C9orf142	
NM_001300	0.8	-0.31	0.65	-0.63	1.13	0.18	1.36	0.44	Homo sapiens Kruppel-like factor 6 (KLF6), transcript variant 2, mRNA.	ILMN_17961	KLF6	
NM_005946	1.03	0.04	1.1	0.14	1	0	1	0	Homo sapiens metallothionein 1A (functional) (MT1A), mRNA.	ILMN_1797	MT1A	
NM_153699	0.13	-3	0.53	-0.92	NaN	NaN	NaN	NaN	Homo sapiens glutathione S-transferase A5 (GSTA5), mRNA.	ILMN_17972	GSTA5	
NM_006513	1.46	0.55	0.86	-0.22	1.14	0.19	1.05	0.06	Homo sapiens seryl-tRNA synthetase (SARS), mRNA.	ILMN_17973	SARS	
NM_080593	1.3	0.38	1.37	0.45	1.4	0.48	1.53	0.61	Homo sapiens histone 1, H2bk (HIST1H2BK), mRNA.	ILMN_17974	HIST1H2BK	
NM_005793	0.66	-0.6	0.72	-0.47	0.95	-0.07	1.07	0.1	Homo sapiens non-metastatic cells 6, protein expressed in (nucleoside-diphosphate kinase) (NME6), mRNA.	ILMN_17980	NME6	
NM_005665	0.66	-0.61	0.7	-0.51	0.78	-0.36	0.85	-0.24	Homo sapiens ecotropic viral integration site 5 (EVI5), mRNA.	ILMN_17996	EVI5	
NM_004247	1.24	0.31	1.39	0.47	0.82	-0.28	0.8	-0.32	Homo sapiens elongation factor Tu GTP binding domain containing 2 (EFTUD2), mRNA.	ILMN_1800	EFTUD2	
NM_016091	1.26	0.34	1.1	0.14	1.31	0.39	1.33	0.41	Homo sapiens eukaryotic translation initiation factor 3, subunit 6 interacting protein (EIF3S6IP), mRNA.	ILMN_18001	EIF3S6IP	
NM_017660	1.48	0.56	1.58	0.66	1.25	0.33	1.46	0.54	Homo sapiens GATA zinc finger domain containing 2A (GATAD2A), mRNA.	ILMN_1801	GATAD2A	
NM_012475	NaN	NaN	0.72	-0.47	0.87	-0.2	0.9	-0.16	Homo sapiens ubiquitin specific peptidase 21 (USP21), transcript variant 1, mRNA.	ILMN_18019	USP21	
NM_005618	1.53	0.62	3.56	1.83	1.87	0.9	1.97	0.98	Homo sapiens delta-like 1 (Drosophila) (DLL1), mRNA.	ILMN_1802	DLL1	
NM_139286	1.6	0.68	1.44	0.52	1.13	0.18	1.14	0.19	Homo sapiens cell division cycle 26 (CDC26), mRNA.	ILMN_18022	CDC26	
NM_001119	0.69	-0.54	0.57	-0.8	0.95	-0.07	0.9	-0.14	Homo sapiens adducin 1 (alpha) (ADD1), transcript variant 1, mRNA.	ILMN_18025	ADD1	
NM_012469	0.97	-0.05	0.99	-0.01	NaN	NaN	0.89	-0.16	Homo sapiens chromosome 20 open reading frame 14 (C20orf14), mRNA.	ILMN_18026	C20orf14	
NM_006289	1.16	0.21	1.07	0.09	1.27	0.35	1.02	0.03	Homo sapiens talin 1 (TLN1), mRNA.	ILMN_18029	TLN1	
NM_003811	2.17	1.12	1.64	0.72	0.73	-0.46	0.47	-1.1	Homo sapiens tumor necrosis factor (ligand) superfamily, member 9 (TNFSF9), mRNA.	ILMN_18030	TNFSF9	
NM_033302	1.14	0.19	0.91	-0.13	0.87	-0.2	0.95	-0.08	Homo sapiens adrenergic, alpha-1A-, receptor (ADRA1A), transcript variant 3, mRNA.	ILMN_18033	ADRA1A	
NM_130438	1.06	0.08	1.04	0.06	0.99	-0.02	0.97	-0.05	Homo sapiens dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A (DYRK1A), transcript variant 5, mRNA.	ILMN_18035	DYRK1A	
NM_002865	0.92	-0.13	0.86	-0.22	1.01	0.02	0.97	-0.04	Homo sapiens RAB2, member RAS oncogene family (RAB2), mRNA.	ILMN_18037	RAB2	
NM_001731	1.94	0.96	1.73	0.79	1.04	0.05	1.18	0.23	Homo sapiens B-cell translocation gene 1, anti-proliferative (BTG1), mRNA.	ILMN_18038	BTG1	
NM_032332	1.09	0.13	0.99	-0.02	0.8	-0.32	0.69	-0.53	Homo sapiens mitogen-activated protein kinase organizer 1 (MORG1), mRNA.	ILMN_18043	MORG1	
NM_007348	1.68	0.75	1.48	0.57	2.64	1.4	2.81	1.49	Homo sapiens activating transcription factor 6 (ATF6), mRNA.	ILMN_18052	ATF6	
NM_004169	0.46	-1.12	0.81	-0.31	0.8	-0.33	1.12	0.16	Homo sapiens serine hydroxymethyltransferase 1 (soluble) (SHMT1), transcript variant 1, mRNA.	ILMN_18055	SHMT1	
