map4k2;NM_009006
vldlr;NM_013703
nsep1;NM_011732
plce;NM_019588
tcf;NM_009327
pai2;NM_011111
alox5ap;NM_009663
mef2c;NM_001170537
mef2c;NM_025282
gli1;NM_010296
arg;NM_007482
dp103;NM_017397
mapk12;NM_013871
fak;NM_001130409
fak;NM_007982
tnfsf4;NM_009452
knsl7;NM_010620
ahr;NM_013464
cd80;NM_009855
caspase4;NM_007609
arhgef1;NM_001130150
arhgef1;NM_001130151
arhgef1;NM_001130152
arhgef1;NM_001130153
arhgef1;NM_008488
abcb11;NM_021022
adam12;NM_007400
gstp1;NM_181796
lif;NM_001039537
lif;NM_008501
pir;NM_011087
map3k10;NM_001081292
greb1;NM_015764
glut4;NM_009204
il10;NM_010548
tbxas1;NM_011539
il3rb;NM_007780
synphilin1;NM_026408
b3galt2;NM_020025
me;NM_008615
pgc1;NM_008904
edem;NM_138677
cyp26a1;NM_007811
camki;NM_009792
camki;NM_177407
baat;NM_007519
cd94;NM_010654
egf;NM_010113
masp2;NM_001003893
masp2;NM_001003898
masp2;NM_001003899
masp2;NM_001008545
masp2;NM_001008546
masp2;NM_010767
masp2;NM_145556
rps6ka2;NM_011299
rad9;NM_011237
delta;NM_007865
a-raf;NM_001159645
a-raf;NM_009703
junb;NM_008416
madh2;NM_010754
rap2b;NM_028712
spp1;NM_009263
il2rg;NM_013563
hdac4;NM_001077696
hdac4;NM_010412
t;NM_020520
rab4;NM_009003
sod2;NM_013671
dusp6;NM_026268
lumican;NM_008524
ran;NM_009391
p107;NM_001139516
p107;NM_011249
chrebp;NM_021455
ets1;NM_001038642
ets1;NM_011808
