ryr2;NM_001035
hgf;NM_001010932
hgf;NM_001010933
hgf;NM_001010934
ubqln1;NM_013438
ubqln1;NM_053067
por1;NM_012402
ron;NM_002447
khdrbs1;NM_006559
tank;NM_004180
tank;NM_133484
cxcr4;NM_001008540
cxcr4;NM_003467
eif2c4;NM_017629
prnp;NM_000311
prnp;NM_001080121
prnp;NM_001080122
prnp;NM_001080123
prnp;NM_183079
chk1;NM_001114121
chk1;NM_001114122
chk1;NM_001274
ck1a;NM_001025105
ck1a;NM_001892
nwasp;NM_003941
ptpn6;NM_002831
ptpn6;NM_080548
ptpn6;NM_080549
eif6;NM_002212
eif6;NM_181466
eif6;NM_181468
pc;NM_000920
pc;NM_001040716
pc;NM_022172
cdc34;NM_004359
map3k4;NM_005922
map3k4;NM_006724
atf;NM_005171
cyce;NM_001238
cyce;NM_057182
sptbn1;NM_003128
sptbn1;NM_178313
pcna;NM_002592
pcna;NM_182649
jak1;NM_002227
pdgfra;NM_006206
tollip;NM_019009
gpx;NM_000581
gpx;NM_201397
add1;NM_001119
add1;NM_014189
add1;NM_014190
add1;NM_176801
abcc3;NM_001144070
abcc3;NM_003786
map4k3;NM_003618
rab27;NM_004580
rab27;NM_183234
rab27;NM_183235
rab27;NM_183236
paelr;NM_005302
vil2;NM_001111077
vil2;NM_003379
nos2;NM_000625
rank;NM_003839
veli1;NM_004664
kappa;NM_000912
adipoq;NM_004797
c1r;NM_001733
notch2;NM_024408
socs;NM_003745
scf;NM_000899
scf;NM_003994
alpl;NM_000478
alpl;NM_001127501
cysltr1;NM_006639
dlg3;NM_001166278
dlg3;NM_020730
dlg3;NM_021120
svct2;NM_005116
svct2;NM_203327
eif1a;NM_001412
hand2;NM_021973
spp1;NM_000582
spp1;NM_001040058
spp1;NM_001040060
snca;NM_000345
snca;NM_001146054
snca;NM_001146055
snca;NM_007308
cbl;NM_005188
epo;NM_000799
scfr;NM_000222
scfr;NM_001093772
map3k13;NM_004721
nppb;NM_002521
ecsit;NM_001142464
ecsit;NM_001142465
ecsit;NM_016581
msin3a;NM_001098202
msin3a;NM_006497
mre11;NM_005590
mre11;NM_005591
fadd;NM_003824
properdin;NM_001145252
properdin;NM_002621
il4r;NM_000418
il4r;NM_001008699
znf145;NM_001018011
znf145;NM_006006
tap2;NM_000544
tap2;NM_018833
cd36;NM_000072
cd36;NM_001001547
cd36;NM_001001548
cd36;NM_001127443
cd36;NM_001127444
ghrh;NM_021081
rps6ka3;NM_004586
tbp;NM_001172085
tbp;NM_003194
abcb1;NM_000927
skip;NM_001142644
skip;NM_030623
f5;NM_000130
fcer1g;NM_004106
pabpn1;NM_004643
egr1;NM_001964
igfals;NM_001146006
igfals;NM_004970
gsk3a;NM_019884
cyp2c9;NM_000771
rbx1;NM_014248
mef2d;NM_005920
p2y2r;NM_002564
p2y2r;NM_176071
p2y2r;NM_176072
icam2;NM_000873
icam2;NM_001099786
icam2;NM_001099787
icam2;NM_001099788
icam2;NM_001099789
grk2;NM_001619
greb1;NM_014668
greb1;NM_033090
greb1;NM_148903
wave;NM_001024934
wave;NM_001024935
wave;NM_001024936
wave;NM_003931
ptch;NM_000264
ptch;NM_001083602
ptch;NM_001083603
ptch;NM_001083604
ptch;NM_001083605
ptch;NM_001083606
ptch;NM_001083607
abcb1b;NM_000927
cask;NM_001126054
cask;NM_001126055
cask;NM_003688
pselectin;NM_003005
ncf1;NM_000265
alk3;NM_004329
hes7;NM_001165967
hes7;NM_032580
il3;NM_000588
tsc2;NM_000548
tsc2;NM_001077183
tsc2;NM_001114382
bmp5;NM_021073
pld3;NM_001031696
pld3;NM_012268
arhgef5;NM_001003702
arhgef5;NM_005435
tlr9;NM_017442
apc;NM_000038
apc;NM_001127510
apc;NM_001127511
pecam1;NM_000442
dcx;NM_000555
dcx;NM_178151
dcx;NM_178152
dcx;NM_178153
stmn1;NM_001145454
stmn1;NM_005563
stmn1;NM_203399
stmn1;NM_203401
cdc2;NM_001130829
cdc2;NM_001170406
cdc2;NM_001170407
cdc2;NM_001786
cdc2;NM_033379
cd134;NM_003327
itk;NM_005546
mapk4;NM_002747
c5;NM_001735
nog;NM_005450
abcc2;NM_000392
taci;NM_012452
cfl1;NM_005507
snrp70;NM_003089
bcr;NM_004327
bcr;NM_021574
gab1;NM_002039
gab1;NM_207123
map2;NM_001039538
map2;NM_002374
map2;NM_031845
map2;NM_031847
cebpb;NM_005194
gadd45;NM_001924
mdcr;NM_000430
map2k3;NM_002756
map2k3;NM_145109
fpr1;NM_002029
sfpq;NM_005066
nmda;NM_000832
nmda;NM_007327
nmda;NM_021569
cytochromec;NM_018947
nfyc;NM_001142587
nfyc;NM_001142588
nfyc;NM_001142589
nfyc;NM_001142590
nfyc;NM_014223
pak1;NM_001128620
pak1;NM_002576
cbs;NM_000071
rad1;NM_002853
ehhadh;NM_001166415
ehhadh;NM_001966
arhgap4;NM_001164741
arhgap4;NM_001666
ckm;NM_001824
perk;NM_004836
darpp32;NM_032192
darpp32;NM_181505
limk;NM_002314
maff;NM_001161572
maff;NM_001161573
maff;NM_001161574
maff;NM_012323
maff;NM_152878
asah1;NM_001127505
asah1;NM_004315
asah1;NM_177924
nlk;NM_016231
prodh;NM_016335
mets;NM_001145312
mets;NM_005240
bak;NM_001188
xap2;NM_003977
cdkn2b;NM_004936
cdkn2b;NM_078487
gsr;NM_000637
bace;NM_012104
bace;NM_138971
bace;NM_138972
bace;NM_138973
dsh;NM_004421
il1ra;NM_000577
il1ra;NM_173841
il1ra;NM_173842
il1ra;NM_173843
il1ri;NM_000877
pdk2;NM_002611
snon;NM_001145097
snon;NM_001145098
snon;NM_005414
fshr;NM_000145
fshr;NM_181446
f10;NM_000504
cdk4;NM_000075
nck1;NM_006153
trrap;NM_003496
map3k14;NM_003954
fak;NM_005607
fak;NM_153831
eif2a;NM_004094
hdac;NM_004964
arg;NM_000045
canx;NM_001024649
canx;NM_001746
hsp40;NM_006145
rab2;NM_002865
cd33;NM_001082618
cd33;NM_001772
f3;NM_001993
got;NM_002079
icad;NM_004401
icad;NM_213566
cmyc;NM_002467
gammac;NM_000206
eef2k;NM_013302
smarca4;NM_001128844
smarca4;NM_001128845
smarca4;NM_001128846
smarca4;NM_001128847
smarca4;NM_001128848
smarca4;NM_001128849
smarca4;NM_003072
tensin;NM_022648
taf1;NM_001872
taf1;NM_016413
vav1;NM_005428
fance;NM_021922
cdk5;NM_001164410
cdk5;NM_004935
gas2;NM_001143830
gas2;NM_005256
gas2;NM_177553
ck2;NM_001895
ck2;NM_177559
ck2;NM_177560
nfkb1;NM_001165412
nfkb1;NM_003998
gstp1;NM_000852
rarb;NM_000965
rarb;NM_016152
bcatenin;NM_001098209
bcatenin;NM_001098210
bcatenin;NM_001904
tradd;NM_003789
c6;NM_000065
c6;NM_001115131
ck1d;NM_001893
ck1d;NM_139062
fcer1a;NM_002001
vhl;NM_000551
vhl;NM_198156
d4gdi;NM_001175
rad50;NM_005732
rad50;NM_133482
mlc;NM_000432
e12;NM_022142
caspase7;NM_001227
caspase7;NM_033338
caspase7;NM_033339
caspase7;NM_033340
ilk;NM_001014794
ilk;NM_001014795
ilk;NM_004517
map3k7;NM_003188
map3k7;NM_145331
map3k7;NM_145332
map3k7;NM_145333
scap;NM_012235
agrn;NM_198576
il6;NM_000600
a20;NM_006290
tif2;NM_006540
ssb;NM_003142
acat;NM_000019
pdha;NM_000284
map3k5;NM_005923
cdt1;NM_030928
aplp1;NM_001024807
aplp1;NM_005166
pp2a;NM_002715
map4k5;NM_006575
map4k5;NM_198794
chn1;NM_001025201
chn1;NM_001822
adam17;NM_003183
snrpc;NM_003093
bmp7;NM_001719
b2ar;NM_000024
abcg5;NM_022436
chrebp;NM_032951
chrebp;NM_032952
chrebp;NM_032953
chrebp;NM_032954
cdkn2d;NM_001800
cdkn2d;NM_079421
hif1a;NM_001530
hif1a;NM_181054
cyp1a2;NM_000761
lumican;NM_002345
prkar2b;NM_002736
ran;NM_006325
cradd;NM_003805
sae1;NM_001145713
sae1;NM_001145714
sae1;NM_005500
cd44;NM_000610
cd44;NM_001001389
cd44;NM_001001390
cd44;NM_001001391
cd44;NM_001001392
lbp;NM_004139
fbxo2;NM_012168
bax;NM_004324
bax;NM_138761
bax;NM_138763
bax;NM_138764
bax;NM_138765
faf1;NM_007051
crem;NM_001881
crem;NM_181571
crem;NM_182717
crem;NM_182718
crem;NM_182719
crem;NM_182720
crem;NM_182721
crem;NM_182722
crem;NM_182723
crem;NM_182724
crem;NM_182725
crem;NM_182769
crem;NM_182770
crem;NM_182771
crem;NM_182772
crem;NM_182850
crem;NM_182853
crem;NM_183011
crem;NM_183012
crem;NM_183013
crem;NM_183060
gp130;NM_002184
gp130;NM_175767
nedd8;NM_006156
ikk1;NM_001278
dtr;NM_001945
eif2c2;NM_001164623
eif2c2;NM_012154
fbw7;NM_001013415
fbw7;NM_018315
fbw7;NM_033632
p48;NM_006084
gli2;NM_005270
igf1r;NM_000875
hk1;NM_000188
hk1;NM_033496
hk1;NM_033497
hk1;NM_033498
hk1;NM_033500
lamc1;NM_002293
pgc1;NM_013261
cdc42;NM_001039802
cdc42;NM_001791
cdc42;NM_044472
enpp1;NM_006208
mitf;NM_000248
mitf;NM_006722
mitf;NM_198158
mitf;NM_198159
mitf;NM_198177
mitf;NM_198178
smac;NM_019887
smac;NM_138929
hdac3;NM_003883
tert;NM_198253
tert;NM_198255
cd29;NM_002211
cd29;NM_033666
cd29;NM_033667
cd29;NM_033668
cd29;NM_033669
cd29;NM_133376
cd49d;NM_000885
mrlc;NM_000432
arhgef1;NM_004706
arhgef1;NM_198977
arhgef1;NM_199002
map4k2;NM_004579
mapk12;NM_002969
bdkrb2;NM_000623
kras2;NM_004985
kras2;NM_033360
prkdc;NM_001081640
prkdc;NM_006904
lat;NM_001014987
lat;NM_001014988
lat;NM_001014989
lat;NM_014387
smarcf1;NM_006015
smarcf1;NM_139135
pparg;NM_005037
pparg;NM_015869
pparg;NM_138711
pparg;NM_138712
vpac2r;NM_003382
pde6g;NM_002602
pgr;NM_000926
resistin;NM_020415
ace2;NM_021804
tpor;NM_005373
brf1;NM_001519
brf1;NM_145685
dkk1;NM_012242
f8;NM_000132
f8;NM_019863
guca1a;NM_000409
dag1;NM_001165928
dag1;NM_004393
afx;NM_001170931
afx;NM_005938
map3k3;NM_002401
map3k3;NM_203351
dlg4;NM_000018
dlg4;NM_001033859
dlg4;NM_001128827
dlg4;NM_001365
pi3kg;NM_004570
btg1;NM_001731
gna11;NM_002067
insr;NM_000208
insr;NM_001079817
dusp8;NM_004420
erbb4;NM_001042599
erbb4;NM_005235
caspase3;NM_004346
caspase3;NM_032991
sfrs2;NM_003016
kpnb1;NM_002265
plcd1;NM_001130964
plcd1;NM_006225
esr1;NM_000125
esr1;NM_001122740
esr1;NM_001122741
esr1;NM_001122742
lepr;NM_001003679
lepr;NM_001003680
lepr;NM_002303
lepr;NM_017526
nrg1;NM_001159995
nrg1;NM_001159996
nrg1;NM_001159999
nrg1;NM_001160001
nrg1;NM_001160002
nrg1;NM_001160004
nrg1;NM_001160005
nrg1;NM_001160007
nrg1;NM_001160008
nrg1;NM_004495
nrg1;NM_013956
nrg1;NM_013957
nrg1;NM_013958
nrg1;NM_013959
nrg1;NM_013960
nrg1;NM_013961
nrg1;NM_013962
nrg1;NM_013964
apex1;NM_001641
apex1;NM_080648
apex1;NM_080649
prmt1;NM_001536
prmt1;NM_198318
prmt1;NM_198319
dusp9;NM_001395
u2af1;NM_001025203
u2af1;NM_001025204
u2af1;NM_006758
gzma;NM_006144
actb;NM_001101
ranbp2;NM_006267
pax3;NM_000438
pax3;NM_001127366
pax3;NM_013942
pax3;NM_181457
pax3;NM_181458
pax3;NM_181459
pax3;NM_181460
pax3;NM_181461
il14;NM_175852
pcip;NM_006534
pcip;NM_181659
map4k1;NM_001042600
map4k1;NM_007181
thy1;NM_006288
miz1;NM_004671
miz1;NM_173206
serping1;NM_000062
serping1;NM_001032295
il3ra;NM_002183
nutf2;NM_005796
cyp24a1;NM_000782
cyp24a1;NM_001128915
nos3;NM_000603
nos3;NM_001160109
nos3;NM_001160110
nos3;NM_001160111
abl;NM_005157
abl;NM_007313
yy1;NM_003403
pdgf;NM_002607
pdgf;NM_033023
gcs1;NM_001146158
gcs1;NM_006302
cdcrel1;NM_000407
cdcrel1;NM_002688
api1;NM_001166
mal;NM_002371
mal;NM_022438
mal;NM_022439
mal;NM_022440
dnajb6;NM_001168724
dnajb6;NM_005494
dnajb6;NM_022918
dnajb6;NM_058246
timp3;NM_000362
mcp1;NM_002982
tsg101;NM_006292
il12rb1;NM_005535
il12rb1;NM_153701
nos1;NM_000620
tcf8;NM_001128128
tcf8;NM_030751
dusp2;NM_004418
snrpb2;NM_003092
snrpb2;NM_198220
a-raf;NM_001654
chymase;NM_001836
u2af65;NM_001025203
u2af65;NM_001025204
u2af65;NM_006758
cftr;NM_000492
hbb;NM_000518
decorin;NM_001920
decorin;NM_133503
decorin;NM_133504
decorin;NM_133505
decorin;NM_133506
decorin;NM_133507
nckap1;NM_013436
nckap1;NM_205842
smarce1;NM_003079
caspase4;NM_001225
caspase4;NM_033306
ppia;NM_021130
fyn;NM_002037
fyn;NM_153047
fyn;NM_153048
timp1;NM_003254
trex1;NM_016381
trex1;NM_033629
zyxin;NM_001010972
zyxin;NM_003461
set;NM_001122821
set;NM_003011
lta;NM_000595
lta;NM_001159740
5ht2c;NM_000868
hmox1;NM_002133
ralbp1;NM_006788
cyp2b6;NM_000767
ldlr;NM_000527
cnr1;NM_001160226
cnr1;NM_001160258
cnr1;NM_001160259
cnr1;NM_001160260
cnr1;NM_016083
cnr1;NM_033181
arfgap3;NM_001142293
arfgap3;NM_014570
apoa1;NM_000039
cebpa;NM_004364
madh6;NM_001142861
madh6;NM_005585
mknk1;NM_001135553
mknk1;NM_003684
mknk1;NM_198973
cpo;NM_000097
il15;NM_000585
il15;NM_172174
bmp2;NM_001200
rad9;NM_004584
perforin;NM_001083116
perforin;NM_005041
mapk8;NM_002750
mapk8;NM_139046
mapk8;NM_139047
mapk8;NM_139049
d2;NM_000795
d2;NM_016574
tgfbr3;NM_003243
rasa1;NM_002890
rasa1;NM_022650
lfng;NM_001040167
lfng;NM_001040168
lfng;NM_001166355
lfng;NM_002304
c7;NM_000587
myh2;NM_001100112
myh2;NM_017534
il17;NM_002190
gcn2;NM_001013703
rab3;NM_002866
il10r2c;NM_001558
stat4;NM_003151
alad;NM_000031
il9;NM_000590
jab1;NM_006837
fcer1b;NM_000139
fcer1b;NM_001142303
mta1;NM_004689
rbbp7;NM_002893
cdc25c;NM_001790
cdc25c;NM_022809
gnb;NM_002074
ifngra;NM_000416
1433q;NM_006826
abca1;NM_005502
itgav;NM_001144999
itgav;NM_001145000
itgav;NM_002210
mapk6;NM_002748
cap;NM_001105530
cap;NM_006367
plau;NM_001145031
plau;NM_002658
chrd;NM_003741
ifnr2;NM_000874
ifnr2;NM_207584
ifnr2;NM_207585
aldoa;NM_000034
aldoa;NM_001127617
aldoa;NM_184041
aldoa;NM_184043
integrinb;NM_002211
integrinb;NM_033666
integrinb;NM_033667
integrinb;NM_033668
integrinb;NM_033669
integrinb;NM_133376
cd14;NM_000591
cd14;NM_001040021
bad;NM_004322
bad;NM_032989
map2k6;NM_002758
stat2;NM_005419
rarg;NM_000966
rarg;NM_001042728
ck1e;NM_001894
ck1e;NM_152221
igfbp1;NM_000596
hd;NM_002111
lselectin;NM_000450
lselectin;NM_000655
cd32;NM_001002273
cd32;NM_001002274
cd32;NM_001002275
cd32;NM_004001
alk2;NM_001105
alk2;NM_001111067
ccr5;NM_000579
ccr5;NM_001100168
mapl11;NM_016050
mapl11;NM_170738
mapl11;NM_170739
sst;NM_001048
cks1;NM_001826
mknk2;NM_017572
mknk2;NM_199054
tpx2;NM_012112
ikk3;NM_001099856
ikk3;NM_001099857
ikk3;NM_001145255
ikk3;NM_003639
madh4;NM_005359
tab2;NM_015093
hph1;NM_004426
sag;NM_000541
trio;NM_007118
gsta2;NM_000846
map2k5;NM_002757
map2k5;NM_145160
cd2;NM_001767
nfya;NM_002505
nfya;NM_021705
xdh;NM_000379
ripk2;NM_003821
ikk2;NM_001556
pitx2;NM_000325
pitx2;NM_153426
pitx2;NM_153427
dhfr;NM_000791
fasl;NM_000639
gh;NM_000515
gh;NM_022559
gh;NM_022560
gh;NM_022561
gh;NM_022562
kpna2;NM_002266
il7ra;NM_002185
nr0b2;NM_021969
pai2;NM_001143818
pai2;NM_002575
rps6kb1;NM_003161
lmna;NM_005572
lmna;NM_170707
lmna;NM_170708
glut1;NM_006516
tnks;NM_003747
cdh1;NM_004360
fkhr;NM_002015
map3k11;NM_002419
slpi;NM_003064
bmpr2;NM_001204
p107;NM_002895
p107;NM_183404
epor;NM_000121
cnr2;NM_001841
synphilin1;NM_005460
ghr;NM_000163
hoxb9;NM_024017
birc5;NM_001012270
birc5;NM_001012271
birc5;NM_001168
mlc2v;NM_000432
ncor2;NM_001077261
ncor2;NM_006312
anxa1;NM_000700
il22;NM_020525
ren;NM_000537
alox5ap;NM_001629
tp73;NM_001126240
tp73;NM_001126241
tp73;NM_001126242
tp73;NM_005427
mip-1b;NM_002984
tpa;NM_000930
tpa;NM_033011
caspase8;NM_001080124
caspase8;NM_001080125
caspase8;NM_001228
caspase8;NM_033355
caspase8;NM_033356
caspase8;NM_033358
sae2;NM_005499
stx1a;NM_001165903
stx1a;NM_004603
dral;NM_001039492
dral;NM_001450
dral;NM_201555
dral;NM_201557
vldlr;NM_001018056
vldlr;NM_003383
hsd11b1;NM_005525
hsd11b1;NM_181755
talin;NM_006289
lf;NM_002343
psen1;NM_000021
psen1;NM_007318
rab9;NM_004251
nppa;NM_006172
map2k4;NM_003010
tial1;NM_001033925
tial1;NM_003252
il12p40;NM_002187
dicer1;NM_030621
dicer1;NM_177438
galt;NM_000155
rpa;NM_002945
gtf3c5;NM_001122823
gtf3c5;NM_012087
nkx2.5;NM_001166175
nkx2.5;NM_001166176
nkx2.5;NM_004387
il4;NM_000589
il4;NM_172348
egfr;NM_005228
egfr;NM_201282
egfr;NM_201283
egfr;NM_201284
ctf1;NM_001142544
ctf1;NM_001330
pkcd;NM_006254
pkcd;NM_212539
atr;NM_001184
rab8;NM_005370
gata4;NM_002052
ifng;NM_000619
utrn;NM_007124
hri;NM_001134335
hri;NM_006303
hri;NM_014413
mtor;NM_004958
cd5;NM_014207
traf2;NM_021138
edem;NM_014674
prkar2a;NM_004157
map3k2;NM_006609
sptan1;NM_001130438
sptan1;NM_003127
alien;NM_001143887
alien;NM_004236
lmnb2;NM_032737
junb;NM_002229
cylcooxygenase%202;NM_000963
rankl;NM_003701
rankl;NM_033012
ranbp1;NM_002882
ct;NM_005984
klkb1;NM_000892
arr;NM_004041
arr;NM_020251
shc1;NM_001130040
shc1;NM_001130041
shc1;NM_003029
shc1;NM_183001
caveolin-1;NM_001753
nup153;NM_005124
f7;NM_000131
f7;NM_019616
rab4;NM_004578
rab4;NM_006542
pge1r;NM_000955
il2rb;NM_000878
ezh2;NM_004456
ezh2;NM_152998
ccnd1;NM_053056
hey2;NM_012259
fgf2;NM_002006
acox1;NM_004035
acox1;NM_007292
cd79a;NM_001783
cd79a;NM_021601
ikkap2;NM_003640
snrpf;NM_003095
aiolos;NM_012481
aiolos;NM_183228
aiolos;NM_183229
aiolos;NM_183230
aiolos;NM_183231
aiolos;NM_183232
fkhrl1;NM_001455
fkhrl1;NM_201559
mlcp;NM_001167857
mlcp;NM_001167858
mlcp;NM_002481
mlcp;NM_032103
mlcp;NM_032104
mlcp;NM_032105
ptgfr;NM_000959
ptgfr;NM_001039585
chop;NM_004083
sharp;NM_015001
cdkn2c;NM_001262
cdkn2c;NM_078626
procr;NM_006404
il2rg;NM_000206
wt1;NM_000378
wt1;NM_024424
wt1;NM_024425
wt1;NM_024426
ccr7;NM_001838
lagy;NM_001145459
lagy;NM_001145460
lagy;NM_032495
lagy;NM_139211
lagy;NM_139212
timp4;NM_003256
ccnd2;NM_001759
tsp1;NM_003246
myt1;NM_004535
cd94;NM_001114396
cd94;NM_002262
cd94;NM_007334
cd35;NM_000573
cd35;NM_000651
mt1mmp;NM_004995
avp;NM_000490
fancf;NM_022725
map3k10;NM_002446
cited2;NM_001168388
cited2;NM_001168389
cited2;NM_006079
daxx;NM_001141969
daxx;NM_001141970
daxx;NM_001350
sufu;NM_016169
gja1;NM_000165
clip;NM_001025158
clip;NM_001025159
clip;NM_004355
ngfr;NM_002507
bik;NM_001197
dll3;NM_016941
dll3;NM_203486
paxillin;NM_001080855
paxillin;NM_002859
paxillin;NM_025157
masp2;NM_006610
masp2;NM_139208
hmg1;NM_002128
hur;NM_001419
ghrl;NM_001134941
ghrl;NM_001134944
ghrl;NM_001134945
ghrl;NM_001134946
ghrl;NM_016362
keratocan;NM_007035
cul1;NM_003592
frat1;NM_005479
pir;NM_001018109
pir;NM_003662
mapkapk3;NM_004635
igfbp4;NM_001552
centd2;NM_001040118
centd2;NM_001135190
centd2;NM_015242
abcd3;NM_001122674
abcd3;NM_002858
pparbp;NM_004774
srebp2;NM_004599
mhcb;NM_002913
rasgef;NM_014247
ptprb;NM_001109754
ptprb;NM_002837
gsk3b;NM_001146156
gsk3b;NM_002093
ube2m;NM_003969
arhgap1;NM_004308
kng;NM_000893
kng;NM_001102416
kng;NM_001166451
tlr4;NM_138554
akap9;NM_005751
akap9;NM_147185
svct1;NM_005847
svct1;NM_152685
snrpa1;NM_003090
fbl;NM_001436
picalm;NM_001008660
picalm;NM_007166
jak3;NM_000215
ralgds;NM_001042368
ralgds;NM_006266
mta3;NM_020744
c-fos;NM_005252
dr3;NM_001039664
dr3;NM_003790
dr3;NM_148965
dr3;NM_148966
dr3;NM_148967
dr3;NM_148970
adar;NM_001025107
adar;NM_001111
adar;NM_015840
adar;NM_015841
smo;NM_005631
anp32a;NM_006305
akr7a2;NM_003689
cin85;NM_001024666
cin85;NM_031892
map4k4;NM_004834
map4k4;NM_145686
map4k4;NM_145687
clock;NM_004898
gale;NM_000403
gale;NM_001008216
gale;NM_001127621
tep1;NM_007110
per;NM_002616
prkce;NM_005400
pa;NM_012388
fancd2;NM_001018115
fancd2;NM_033084
esrra;NM_004451
scya5;NM_002985
dock1;NM_001380
p68;NM_004396
glut3;NM_006931
pgds;NM_014485
biglycan;NM_001711
rock1;NM_005406
abcg1;NM_004915
abcg1;NM_016818
abcg1;NM_207174
abcg1;NM_207627
abcg1;NM_207628
abcg1;NM_207629
arf1;NM_001024226
arf1;NM_001024227
arf1;NM_001024228
arf1;NM_001658
tnfrsf9;NM_001561
slc9a3r1;NM_004252
fd;NM_001928
gbf1;NM_004193
tf2h;NM_000122
il1;NM_000575
ppara;NM_001001928
ppara;NM_005036
ppara;NM_207327
granzymeb;NM_004131
ndel1;NM_001025579
ndel1;NM_030808
fb;NM_000063
fb;NM_001145903
fb;NM_001710
galk;NM_000154
rangap1;NM_002883
pscd4;NM_013385
