ENSG00000104825;NM_001001716
ENSG00000163376;NM_032505
ENSG00000160781;NM_198406
ENSG00000196815;XM_001720518
ENSG00000171126;NM_133329
ENSG00000129682;NM_033642
ENSG00000179397;NM_001130957
ENSG00000111602;NM_003920
ENSG00000141449;NM_001142966
ENSG00000104938;NM_001144908
ENSG00000013441;NM_004071
ENSG00000178338;NM_058230
ENSG00000179950;NM_078480
ENSG00000157766;NM_013227
ENSG00000127561;NM_004209
ENSG00000138395;NM_139158
ENSG00000181072;NM_001006626
ENSG00000137842;NM_024956
ENSG00000107742;NM_014767
ENSG00000175820;XM_002347408
ENSG00000205857;NM_001145465
ENSG00000122691;NM_000474
ENSG00000120322;NM_019120
ENSG00000090534;NM_000460
ENSG00000101438;NM_080552
ENSG00000162825;NM_017940
ENSG00000128683;NM_013445
ENSG00000185697;NM_001144755
ENSG00000101191;NM_080797
ENSG00000130985;NM_003334
ENSG00000076864;NM_001145658
ENSG00000182945;XM_001130444
ENSG00000170959;XM_002347193
ENSG00000101542;NM_031891
ENSG00000095203;NM_019114
ENSG00000139263;NM_153377
ENSG00000180739;NM_001166215
ENSG00000124201;NM_021035
ENSG00000111980;NM_013974
ENSG00000203832;NM_017940
ENSG00000166833;NM_001111018
ENSG00000130517;NM_017712
ENSG00000203836;NM_017940
ENSG00000205775;NM_001098408
ENSG00000197223;NM_006333
ENSG00000129965;NM_000612
ENSG00000163719;NM_022485
ENSG00000205777;NM_001098408
ENSG00000168268;NM_022908
ENSG00000137807;NM_004856
ENSG00000101447;NM_030919
ENSG00000168734;NM_181805
ENSG00000162923;NM_025160
ENSG00000173966;XM_001714867
ENSG00000125910;NM_003775
ENSG00000171476;NM_139212
ENSG00000157388;NM_001128840
ENSG00000136560;NM_133484
ENSG00000165588;NM_172337
ENSG00000124217;NM_014484
ENSG00000081377;NM_003671
ENSG00000122591;NM_032581
ENSG00000221865;NM_032928
ENSG00000189195;NM_183242
ENSG00000205488;XM_001726995
ENSG00000138942;NM_001135824
ENSG00000145901;NM_006058
ENSG00000152192;NM_006237
ENSG00000120093;NM_002146
ENSG00000128242;NM_004861
ENSG00000179172;NM_001136561
ENSG00000147255;NM_001555
ENSG00000144426;NM_198945
ENSG00000108433;NM_054022
ENSG00000100994;NM_002862
ENSG00000151553;NM_001135051
ENSG00000105136;NM_024691
ENSG00000155816;NM_020066
ENSG00000163637;NM_198859
ENSG00000099958;NM_001135751
ENSG00000187840;NM_004095
ENSG00000136206;XM_001720024
ENSG00000167754;NM_012427
ENSG00000122390;NM_001083600
ENSG00000143190;NM_002697
ENSG00000104611;NM_022071
ENSG00000181767;NM_001005200
ENSG00000116783;NM_001112808
ENSG00000118689;NM_201559
ENSG00000154143;NM_052959
ENSG00000104177;NM_016132
ENSG00000172243;NM_197948
ENSG00000115464;NM_014709
ENSG00000213499;NM_001080145
ENSG00000196415;NM_002777
ENSG00000160325;NM_017586
ENSG00000076770;NM_001170704
ENSG00000205212;NM_001004306
ENSG00000204410;NM_172165
ENSG00000171604;NM_016463
ENSG00000135636;NM_001130983
ENSG00000217250;XM_001716078
ENSG00000134874;NM_014934
ENSG00000174123;NM_001017388
ENSG00000165584;NM_021014
ENSG00000152413;NM_004272
ENSG00000187820;NM_173638
ENSG00000185518;XM_001722047
ENSG00000197681;NM_001123391
ENSG00000220869;XM_372214
ENSG00000092208;NM_003616
ENSG00000008438;NM_005091
ENSG00000215792;NM_001029885
ENSG00000152240;NM_138443
ENSG00000130726;NM_005762
ENSG00000076604;NM_004295
ENSG00000197549;XM_001717401
ENSG00000189099;NM_183375
ENSG00000137491;NM_007256
ENSG00000079974;NM_001130921
ENSG00000184863;NM_053043
ENSG00000006704;NM_016328
ENSG00000157168;NM_013962
ENSG00000123360;NM_000924
ENSG00000144278;NM_020474
ENSG00000169550;NM_001135091
ENSG00000111907;NM_001003397
ENSG00000143537;NM_207196
ENSG00000196532;NM_003536
ENSG00000168824;NM_014392
ENSG00000106268;NM_198948
ENSG00000131730;NM_001825
ENSG00000073803;NM_004721
ENSG00000196345;NM_018651
ENSG00000135390;NM_005176
ENSG00000204344;NM_004197
ENSG00000173153;NM_004451
ENSG00000153975;NM_145062
ENSG00000110628;NM_183233
ENSG00000188069;NM_001004752
ENSG00000075426;NM_005253
ENSG00000214224;XM_001718649
ENSG00000175564;NM_003356
ENSG00000182652;NM_172194
ENSG00000219960;NM_012423
ENSG00000206346;NM_005510
ENSG00000129347;NM_023008
ENSG00000124486;NM_001039591
ENSG00000147206;NM_022052
ENSG00000146859;NM_018295
ENSG00000099972;NM_015241
ENSG00000116962;NM_002508
ENSG00000164949;NM_005261
ENSG00000129009;NM_201526
ENSG00000213923;NM_001894
ENSG00000160584;NM_025164
ENSG00000108587;NM_004871
ENSG00000167984;NM_178844
ENSG00000109103;NM_054035
ENSG00000150175;NM_001042515
ENSG00000089682;NM_001171080
ENSG00000196511;NM_001042482
ENSG00000139155;NM_017435
ENSG00000173262;NM_153449
ENSG00000135272;NM_001166346
ENSG00000163719;NM_001077526
ENSG00000109758;NM_001528
ENSG00000136244;NM_000600
ENSG00000079931;NM_015529
ENSG00000090659;NM_001144897
ENSG00000134802;NM_014096
ENSG00000101182;NM_002792
ENSG00000176925;NM_001004753
ENSG00000205758;NM_145858
ENSG00000160305;NM_001146116
ENSG00000147642;NM_001099751
ENSG00000148671;NM_006829
ENSG00000174437;NM_170665
ENSG00000165782;NM_001100814
ENSG00000070182;NM_000347
ENSG00000136158;NM_005842
ENSG00000171916;NM_001040078
ENSG00000161405;NM_183229
ENSG00000140481;NM_025055
ENSG00000214518;NM_001123387
ENSG00000116750;NM_015984
ENSG00000186453;NM_001040710
ENSG00000177483;NM_001080504
ENSG00000184115;NM_033514
ENSG00000218091;NM_001968
ENSG00000096474;NM_002441
ENSG00000204446;NM_001001709
ENSG00000145685;NM_005779
ENSG00000187135;XM_002345171
ENSG00000136111;NM_014832
ENSG00000092850;NM_014466
ENSG00000197657;NM_030899
ENSG00000196951;XM_001720192
ENSG00000139826;NM_032859
ENSG00000108588;NM_020198
ENSG00000144182;NM_015929
ENSG00000168070;NM_001037225
ENSG00000167195;NM_001145224
ENSG00000005810;NM_015057
ENSG00000130226;NM_001039350
ENSG00000183251;NM_033179
ENSG00000127914;NM_147185
ENSG00000189430;NM_001145458
ENSG00000088035;NM_013339
ENSG00000126264;NM_001007469
ENSG00000135905;NM_014689
ENSG00000116791;NM_001130042
ENSG00000174516;NM_001098510
ENSG00000139291;NM_018279
ENSG00000147166;NM_012278
ENSG00000137871;NM_001002843
ENSG00000170791;NM_001011668
ENSG00000215784;NM_207418
ENSG00000211628;XM_001716615
ENSG00000124762;NM_078467
ENSG00000100060;NM_001166343
ENSG00000181991;NM_022839
ENSG00000183396;NM_001008269
ENSG00000015568;NM_001144013
ENSG00000168209;NM_019058
ENSG00000197249;NM_001127700
ENSG00000066056;NM_005424
ENSG00000129455;NM_144506
ENSG00000156603;NM_153450
ENSG00000069020;NM_001164664
ENSG00000205663;XM_002348142
ENSG00000107372;NM_001102421
ENSG00000205664;XM_002348142
ENSG00000211695;NM_001003799
ENSG00000150459;NM_005870
ENSG00000113805;NM_020872
ENSG00000140153;NM_144574
ENSG00000187820;XM_001715810
ENSG00000211689;NM_001003799
ENSG00000118495;NM_006718
ENSG00000214652;NM_001159524
ENSG00000211613;XM_001716615
ENSG00000085063;NM_001127227
ENSG00000132207;NM_024044
ENSG00000105639;NM_000215
ENSG00000203852;NM_003529
ENSG00000198133;NM_182526
ENSG00000203847;NM_001144032
ENSG00000132005;NM_002918
ENSG00000145220;NM_017816
ENSG00000095794;NM_182718
ENSG00000141179;NM_001102402
ENSG00000211609;XM_001716615
ENSG00000204705;XM_002348287
ENSG00000211606;XM_001716615
ENSG00000177084;NM_006231
ENSG00000211604;XM_001716615
ENSG00000115841;NM_001170793
ENSG00000211603;XM_001716615
ENSG00000156689;NM_145016
ENSG00000211601;XM_001716615
ENSG00000142224;NM_153758
ENSG00000206140;XM_001725851
ENSG00000136842;NM_003275
ENSG00000164318;NM_182801
ENSG00000177354;XM_001719395
ENSG00000091039;NM_020841
ENSG00000066697;NM_080655
ENSG00000172081;NM_130807
ENSG00000206451;NM_001109809
ENSG00000150676;NM_173556
ENSG00000060718;NM_001168249
ENSG00000127399;NM_001142928
ENSG00000006837;NM_016508
ENSG00000198518;NM_003540
ENSG00000148943;NM_018362
ENSG00000214488;XM_001725551
ENSG00000120645;XM_001126365
ENSG00000107815;NM_021830
ENSG00000158315;NM_017821
ENSG00000198331;NM_145014
ENSG00000157927;NM_018059
ENSG00000178342;NM_012283
ENSG00000143398;NM_001135636
ENSG00000197345;NM_181515
ENSG00000121940;NM_015127
ENSG00000100362;NM_002854
ENSG00000138606;NM_138356
ENSG00000166734;NM_177974
ENSG00000197061;NM_003544
ENSG00000171812;NM_005202
ENSG00000105738;NM_015073
ENSG00000214265;NM_005678
ENSG00000109220;NM_012110
ENSG00000058668;NM_001001396
ENSG00000022567;NM_001080431
ENSG00000185324;NM_052987
ENSG00000181027;NM_024301
ENSG00000107807;NM_005521
ENSG00000180113;NM_001168359
ENSG00000211450;NM_170746
ENSG00000162772;NM_001674
ENSG00000187094;NM_000729
ENSG00000203771;XM_495855
ENSG00000183461;NM_001097598
ENSG00000196090;NM_007050
ENSG00000203811;NM_003529
ENSG00000084234;NM_001142278
ENSG00000203813;NM_003529
ENSG00000206176;XM_001725851
ENSG00000204642;NM_001098478
ENSG00000214117;XM_001726720
ENSG00000205571;NM_022875
ENSG00000188624;NM_207393
ENSG00000203770;XM_495855
ENSG00000100813;NM_001164816
ENSG00000137992;NM_001918
ENSG00000166479;NM_019022
ENSG00000117281;NM_007053
ENSG00000203769;XM_495855
ENSG00000196735;XM_001129369
ENSG00000115138;NM_001035256
ENSG00000170374;NM_152860
ENSG00000175333;NM_000985
ENSG00000132305;NM_006839
ENSG00000058404;NM_172084
ENSG00000165583;NM_001164417
ENSG00000184988;NM_145041
ENSG00000137142;NM_001007563
ENSG00000100644;NM_001530
ENSG00000110148;NM_176875
ENSG00000105146;NM_001015878
ENSG00000179571;XM_001715810
ENSG00000203767;XM_495855
ENSG00000074370;NM_174953
ENSG00000203766;XM_495855
ENSG00000175274;NM_006034
ENSG00000216884;XM_001714751
ENSG00000142186;NM_020680
ENSG00000188987;NM_021968
ENSG00000138231;NM_016216
ENSG00000112304;NM_018473
ENSG00000127957;NM_001003686
ENSG00000167779;NM_002178
ENSG00000169241;NM_001122837
ENSG00000137070;NM_147162
ENSG00000211631;XM_001716615
ENSG00000166263;NM_178509
ENSG00000046651;NM_003611
ENSG00000185041;XM_001715032
ENSG00000196778;NM_001005171
ENSG00000220268;XM_002342892
ENSG00000198558;NM_003540
ENSG00000215620;XM_001717398
ENSG00000170412;NM_022036
ENSG00000196296;NM_173201
ENSG00000171124;NM_001097640
ENSG00000104043;NM_024837
ENSG00000204179;NM_001042360
ENSG00000121766;NM_016505
ENSG00000168675;NM_181481
ENSG00000015568;NM_001123363
ENSG00000134954;NM_001143820
ENSG00000141562;NM_031968
ENSG00000143549;NM_001043351
ENSG00000204776;XM_001714338
ENSG00000146197;NM_152753
ENSG00000161996;NM_145294
ENSG00000164024;NM_015143
ENSG00000157358;XM_002342032
ENSG00000183742;NM_182762
ENSG00000110442;NM_014186
ENSG00000183479;NM_017518
ENSG00000177628;NM_001005749
ENSG00000185627;NM_002817
ENSG00000147465;NM_001007243
ENSG00000100931;NM_014169
ENSG00000177558;NM_152481
ENSG00000136872;NM_000035
ENSG00000138640;NM_014883
ENSG00000218405;XM_002348270
ENSG00000039560;NM_001145520
ENSG00000023191;NM_203385
ENSG00000119912;NM_004969
ENSG00000089356;NM_001136011
ENSG00000103343;NM_003450
ENSG00000090238;NM_001145524
ENSG00000167524;NM_144610
ENSG00000147926;NM_001145196
ENSG00000115839;NM_012233
ENSG00000121853;NM_004122
ENSG00000102024;NM_001136025
ENSG00000153179;NM_178169
ENSG00000129474;NM_032876
ENSG00000155918;NM_130900
ENSG00000158578;NM_001037967
ENSG00000181555;NM_014159
ENSG00000146757;NM_152626
ENSG00000112078;NM_173562
ENSG00000197757;NM_004503
ENSG00000040487;NM_001040126
ENSG00000183576;NM_032233
ENSG00000161203;NM_004068
ENSG00000104164;NM_012388
ENSG00000204776;XM_001715084
ENSG00000170498;NM_002256
ENSG00000204699;XM_001714341
ENSG00000118007;NM_005862
ENSG00000067191;NM_199247
ENSG00000032444;NM_001166113
ENSG00000126698;NM_014280
ENSG00000077984;NM_003650
ENSG00000160221;NM_004649
ENSG00000171700;NM_005873
ENSG00000105732;NM_022752
ENSG00000141556;NM_005993
ENSG00000151360;NM_018436
ENSG00000107731;NM_170744
ENSG00000007341;NM_138729
ENSG00000173451;NM_031435
ENSG00000006432;NM_033141
ENSG00000117632;NM_203399
ENSG00000166225;NM_001042555
ENSG00000138709;NM_178043
ENSG00000147003;NM_020665
ENSG00000198125;NM_203378
ENSG00000176399;NM_022160
ENSG00000059769;NM_004125
ENSG00000213595;XM_001727003
ENSG00000013306;NM_016016
ENSG00000139714;NM_173855
ENSG00000124089;NM_019888
ENSG00000197343;NM_001083956
ENSG00000188690;NM_000375
ENSG00000159921;NM_005476
ENSG00000115159;NM_000408
ENSG00000214192;NM_001162505
ENSG00000205409;NM_001005167
ENSG00000151376;NM_001014811
ENSG00000107949;NM_078469
ENSG00000109944;NM_024806
ENSG00000182628;XM_001131195
ENSG00000188596;NM_198520
ENSG00000120440;NM_031949
ENSG00000154415;NM_002711
ENSG00000119314;NM_001163790
ENSG00000165948;NM_145249
ENSG00000163536;NM_005025
ENSG00000114942;NM_001037663
ENSG00000162825;NM_001039703
ENSG00000115353;NM_015727
ENSG00000160439;NM_001145971
ENSG00000168301;NM_153331
ENSG00000160183;NM_032405
ENSG00000182870;NM_021808
ENSG00000117000;NM_012421
ENSG00000164841;NM_153015
ENSG00000204564;NM_145029
ENSG00000087274;NM_014189
ENSG00000077254;NM_201626
ENSG00000109689;NM_001169117
ENSG00000185041;XM_001131091
ENSG00000149534;NM_000139
ENSG00000198826;NM_199357
ENSG00000206046;NM_001006118
ENSG00000160957;NM_004260
ENSG00000121410;NM_130786
ENSG00000112038;NM_000914
ENSG00000053328;NM_001123364
ENSG00000167244;NM_000207
ENSG00000180090;NM_002550
ENSG00000214140;NM_001077620
ENSG00000159713;NM_016140
ENSG00000212747;NM_001078173
ENSG00000203760;NM_001012507
ENSG00000203771;XM_928023
ENSG00000004139;NM_015077
ENSG00000203770;XM_928023
ENSG00000171867;NM_001080122
ENSG00000197592;NM_001076
ENSG00000102119;NM_000117
ENSG00000174233;NM_020983
ENSG00000198035;XM_001714786
ENSG00000196604;NM_001099771
ENSG00000198670;NM_005577
ENSG00000182700;NM_001007189
ENSG00000068793;NM_014608
ENSG00000165731;NM_020975
ENSG00000123562;NM_001142422
ENSG00000163618;NM_183393
ENSG00000152093;NM_001079530
ENSG00000105875;NM_014149
ENSG00000196436;XM_002344099
ENSG00000059588;NM_005646
ENSG00000178573;NM_005360
ENSG00000186818;NM_006847
ENSG00000214262;NM_025190
ENSG00000134504;NM_001142730
ENSG00000179520;NM_001145288
ENSG00000206776;NM_024116
ENSG00000169641;NM_033631
ENSG00000121289;NM_032816
ENSG00000168487;NM_006128
ENSG00000143545;XM_001718622
ENSG00000162761;NM_001033507
ENSG00000198203;NM_001056
ENSG00000178031;NM_052866
ENSG00000198300;NM_015363
ENSG00000108406;NM_001166301
ENSG00000143727;NM_001040649
ENSG00000128891;NM_052849
ENSG00000197779;NM_007137
ENSG00000168779;NM_006884
ENSG00000160791;NM_000579
ENSG00000079689;NM_006998
ENSG00000079841;NM_001168408
ENSG00000198400;NM_002529
ENSG00000180917;NM_001099642
ENSG00000196936;NM_001001963
ENSG00000100918;NM_001048205
ENSG00000118855;NM_001167903
ENSG00000182712;NM_001018025
ENSG00000152782;NM_148977
ENSG00000152939;NM_001038603
ENSG00000186090;NM_001163646
ENSG00000084090;NM_020151
ENSG00000177570;NM_001101676
ENSG00000134717;XM_001718015
ENSG00000196141;NM_001100424
ENSG00000184613;NM_001145108
ENSG00000203769;XM_928023
ENSG00000203766;XM_928023
ENSG00000095794;NM_182721
ENSG00000203767;XM_928023
ENSG00000198068;NM_001005515
ENSG00000157017;NM_001134946
ENSG00000063438;NM_020731
ENSG00000206799;NM_024116
ENSG00000183941;NM_003545
ENSG00000181722;NM_001164345
ENSG00000141934;NM_177543
ENSG00000186645;XM_002344329
ENSG00000118473;NM_032291
ENSG00000197565;NM_001847
ENSG00000125726;NM_001252
ENSG00000159423;NM_170726
ENSG00000196176;NM_003539
ENSG00000204459;XM_001722815
ENSG00000216921;XM_002345629
ENSG00000178385;NM_001080475
ENSG00000127241;NM_139125
ENSG00000125740;NM_001114171
ENSG00000095739;XM_001721227
ENSG00000119714;NM_003485
ENSG00000101958;NM_001118885
ENSG00000135476;NM_012291
ENSG00000086666;NM_019006
ENSG00000179627;NM_001137601
ENSG00000183688;XM_001724979
ENSG00000068745;NM_001146179
ENSG00000188747;NM_006647
ENSG00000196862;NM_001164463
ENSG00000181085;NM_139021
ENSG00000206266;NM_005510
ENSG00000111325;NM_024623
ENSG00000126091;NM_174964
ENSG00000204970;NM_018900
ENSG00000099860;NM_015675
ENSG00000204880;XM_002343515
ENSG00000145012;NM_001167672
ENSG00000205181;XM_001723623
ENSG00000110881;NM_001095
ENSG00000102898;NM_005796
ENSG00000215252;NM_001023567
ENSG00000214014;NM_080822
ENSG00000149091;NM_003646
ENSG00000153956;NM_000722
ENSG00000154380;NM_018212
ENSG00000165406;NM_001002266
ENSG00000149091;NM_001105540
ENSG00000076382;NM_006461
ENSG00000204877;XM_002343515
ENSG00000185518;NM_001167580
ENSG00000189067;NM_004862
ENSG00000148634;NM_015601
ENSG00000174100;NM_032351
ENSG00000181195;NM_006211
ENSG00000178067;NM_001127387
ENSG00000130703;NM_144498
ENSG00000163399;NM_001001586
ENSG00000008952;NM_003262
ENSG00000176256;NM_001008728
ENSG00000198231;NM_203499
ENSG00000040933;NM_001134224
ENSG00000130382;NM_005934
ENSG00000134717;NM_001136497
ENSG00000018408;NM_001168278
ENSG00000188428;NM_201280
ENSG00000135722;NM_018378
ENSG00000038427;NM_001164098
ENSG00000221955;NM_024628
ENSG00000186471;NM_001008534
ENSG00000143951;NM_015910
ENSG00000185942;NM_173688
ENSG00000147118;NM_001007088
ENSG00000116128;NM_004326
ENSG00000074706;NM_001130700
ENSG00000101440;NM_001672
ENSG00000115254;NM_001145047
ENSG00000108107;NM_001136137
ENSG00000170092;XM_499314
ENSG00000083099;NM_020466
ENSG00000205019;NM_001123392
ENSG00000184750;NM_153488
ENSG00000144130;XM_001716541
ENSG00000009694;NM_014253
ENSG00000185267;NM_001029954
ENSG00000216649;NM_001098409
ENSG00000180855;NM_005815
ENSG00000134321;NM_080657
ENSG00000158526;NM_058163
ENSG00000167554;NM_001161425
ENSG00000074356;NM_018553
ENSG00000186086;NM_001143989
ENSG00000215861;XM_927826
ENSG00000186918;NM_018660
ENSG00000203965;NM_032437
ENSG00000162571;NM_153254
ENSG00000141867;NM_058243
ENSG00000126264;NM_014266
ENSG00000203900;XM_001724515
ENSG00000178235;NM_052910
ENSG00000143851;NM_002832
ENSG00000130175;NM_002743
ENSG00000204967;NM_018900
ENSG00000198520;NM_001145636
ENSG00000125810;NM_012072
ENSG00000204383;XM_001726435
ENSG00000009709;NM_013945
ENSG00000066926;NM_000140
ENSG00000222012;XM_001720028
ENSG00000197415;NM_001167912
ENSG00000166033;NM_002775
ENSG00000110852;NM_005127
ENSG00000174206;NM_152440
ENSG00000163510;NM_020943
ENSG00000187488;NM_001029885
ENSG00000182389;NM_000726
ENSG00000173572;NM_176810
ENSG00000197409;NM_003537
ENSG00000206510;NM_001109809
ENSG00000165699;NM_001008567
ENSG00000163606;NM_138806
ENSG00000183856;NM_178229
ENSG00000151136;NM_001017523
ENSG00000091664;NM_020346
ENSG00000127666;NM_182919
ENSG00000221927;XM_929328
ENSG00000212640;NM_001127388
ENSG00000163017;NM_001615
ENSG00000187690;NM_203407
ENSG00000212124;NM_176888
ENSG00000173464;NM_145250
ENSG00000188306;NM_001080460
ENSG00000148660;NM_172171
ENSG00000177994;NM_001100396
ENSG00000185515;NM_024332
ENSG00000171561;NM_001005285
ENSG00000212638;NM_001127388
ENSG00000204463;NM_004639
ENSG00000077264;NM_001128172
ENSG00000023892;NM_022047
ENSG00000169223;NM_006816
ENSG00000105281;NM_005628
ENSG00000079974;NM_001130919
ENSG00000215694;NM_001165031
ENSG00000213398;NM_000229
ENSG00000218091;XM_001723104
ENSG00000068305;NM_001130927
ENSG00000144802;NM_031419
ENSG00000115368;NM_032168
ENSG00000205678;NM_001010874
ENSG00000198517;NM_002360
ENSG00000186480;NM_198336
ENSG00000125257;NM_001105515
ENSG00000175619;NM_001005470
ENSG00000119965;NM_024942
ENSG00000178394;NM_000524
ENSG00000125246;NM_206808
ENSG00000155438;NM_032390
ENSG00000173991;NM_003673
ENSG00000100146;NM_006941
ENSG00000150275;NM_001142771
ENSG00000198598;NM_016155
ENSG00000160818;NM_015590
ENSG00000062194;NM_001127235
ENSG00000177034;NM_001010891
ENSG00000185947;NM_003414
ENSG00000197704;NM_001042525
ENSG00000157240;NM_003505
ENSG00000183831;NM_198493
ENSG00000124191;NM_001098797
ENSG00000198820;NM_032461
ENSG00000185838;NM_053004
ENSG00000066827;NM_001029939
ENSG00000221901;NM_001098824
ENSG00000138193;NM_016341
ENSG00000091128;NM_007356
ENSG00000196532;NM_003529
ENSG00000165699;NM_001162427
ENSG00000186719;XM_001724485
ENSG00000134602;NM_016542
ENSG00000187595;XM_002343558
ENSG00000113448;NM_001165899
ENSG00000100577;NM_145870
ENSG00000196230;NM_178014
ENSG00000212907;XM_002343514
ENSG00000172845;NM_003111
ENSG00000004455;NM_013411
ENSG00000183778;NM_033173
ENSG00000169490;NM_001024381
ENSG00000174898;NM_152784
ENSG00000179978;NM_022892
ENSG00000164543;NM_004760
ENSG00000160191;NM_001001575
ENSG00000166794;NM_000942
ENSG00000197971;NM_001025101
ENSG00000137656;NM_032725
ENSG00000162980;NM_001037174
ENSG00000122482;NM_201269
ENSG00000108176;NM_201262
ENSG00000177873;NM_001145082
ENSG00000105866;NM_003112
ENSG00000162543;NM_152376
ENSG00000124564;NM_001098486
ENSG00000167565;NM_013368
ENSG00000174013;NM_001105573
ENSG00000109113;NM_001144943
ENSG00000148386;NM_001001676
ENSG00000171471;NM_001085481
ENSG00000198477;NM_080764
ENSG00000170364;NM_006515
ENSG00000138964;NM_001137605
ENSG00000063245;NM_013333
ENSG00000137822;NM_014444
ENSG00000178836;NM_001001394
ENSG00000124780;NM_001135111
ENSG00000073536;NM_001014445
ENSG00000139197;NM_001131025
ENSG00000164587;NM_001025070
ENSG00000125835;NM_198216
ENSG00000106853;NM_012212
ENSG00000163531;NM_001005389
ENSG00000183722;NM_005780
ENSG00000167992;NM_152718
ENSG00000111846;NM_145655
ENSG00000198716;NM_001098409
ENSG00000169906;NM_004057
ENSG00000211592;XM_001716615
ENSG00000197062;NM_152736
ENSG00000111640;NM_002046
ENSG00000085491;NM_213651
ENSG00000109118;NM_001033561
ENSG00000002549;NM_015907
ENSG00000167302;NM_144679
ENSG00000213523;NM_001035235
ENSG00000155849;NM_001039459
ENSG00000147894;NM_145005
ENSG00000182083;NM_001005853
ENSG00000167925;NM_001142622
ENSG00000169371;NM_001042581
ENSG00000145041;NM_001171904
ENSG00000168386;NM_182909
ENSG00000139990;NM_003861
ENSG00000198399;NM_006277
ENSG00000214173;XM_001721922
ENSG00000151914;NM_183380
ENSG00000206485;NM_133471
ENSG00000159423;NM_003748
ENSG00000145192;NM_001622
ENSG00000075415;NM_213611
ENSG00000155875;NM_153707
ENSG00000184674;NM_000853
ENSG00000145879;NM_032566
ENSG00000198083;XM_001726986
ENSG00000118922;NM_007249
ENSG00000105137;NM_033025
ENSG00000182963;NM_001080383
ENSG00000173809;NM_001110822
ENSG00000140416;NM_001018005
ENSG00000173418;NM_181528
ENSG00000021574;NM_014946
ENSG00000186575;NM_181833
ENSG00000137575;NM_001007067
ENSG00000121653;NM_005456
ENSG00000206176;XM_001128423
ENSG00000169621;NM_173545
ENSG00000153234;NM_006186
ENSG00000182979;NM_004689
ENSG00000198890;NM_018137
ENSG00000156958;NM_002044
ENSG00000134539;NM_007334
ENSG00000066135;NM_014663
ENSG00000149929;NM_003609
ENSG00000112769;NM_002290
ENSG00000168894;NM_016494
ENSG00000196844;NM_212555
ENSG00000100284;NM_001135732
ENSG00000145850;NM_001146726
ENSG00000205755;NM_022148
ENSG00000154839;NM_145060
ENSG00000135636;NM_001130977
ENSG00000143398;NM_001135638
ENSG00000178067;XM_001722088
ENSG00000162695;NM_133496
ENSG00000156475;NM_181676
ENSG00000181939;NM_001001920
ENSG00000185990;NM_001007524
ENSG00000006451;NM_005402
ENSG00000173253;NM_181872
ENSG00000196704;NM_001033570
ENSG00000160688;NM_025207
ENSG00000174238;NM_006224
ENSG00000096968;NM_004972
ENSG00000163072;NM_052946
ENSG00000115641;NM_001450
ENSG00000125304;NM_004800
ENSG00000139508;NM_001135919
ENSG00000203852;NM_021065
ENSG00000090857;NM_017990
ENSG00000116266;NM_007269
ENSG00000196220;NM_014850
ENSG00000212640;XM_001722088
ENSG00000151470;NM_173487
ENSG00000170113;NM_001142275
ENSG00000163938;NM_206825
ENSG00000198183;NM_016583
ENSG00000141219;NM_017941
ENSG00000183648;NM_004545
ENSG00000122367;NM_001171611
ENSG00000122515;NM_174929
ENSG00000034239;NM_024593
ENSG00000148735;NM_024889
ENSG00000113269;NM_018434
ENSG00000185432;NM_014033
ENSG00000172915;NM_015678
ENSG00000120055;NM_024886
ENSG00000188013;NM_020160
ENSG00000198300;NM_006210
ENSG00000105402;NM_003827
ENSG00000138078;NM_006036
ENSG00000063978;XM_939111
ENSG00000148843;NM_014976
ENSG00000074660;NM_145351
ENSG00000212638;XM_001722088
ENSG00000214866;XM_001719791
ENSG00000151348;NM_000401
ENSG00000175556;NM_001031855
ENSG00000066855;NM_001145838
ENSG00000184343;NM_001170761
ENSG00000097021;NM_181865
ENSG00000163138;NM_001130727
ENSG00000095794;NM_182853
ENSG00000111641;NM_006170
ENSG00000197914;NM_001034077
ENSG00000121406;NM_153263
ENSG00000171014;NM_001001965
ENSG00000100206;NM_007068
ENSG00000128513;NM_015450
ENSG00000158691;NM_001163391
ENSG00000100285;NM_021076
ENSG00000169202;NM_001005466
ENSG00000056050;NM_017867
ENSG00000129515;NM_152233
ENSG00000120251;NM_001083619
ENSG00000217238;NM_003913
ENSG00000172239;XM_928169
ENSG00000164855;NM_001097620
ENSG00000173896;XM_939225
ENSG00000198718;NM_015091
ENSG00000109586;NM_017423
ENSG00000157540;NM_130437
ENSG00000206140;XM_001128423
ENSG00000179593;NM_001141
ENSG00000154856;NM_153000
ENSG00000081791;NM_001142603
ENSG00000198558;NM_021968
ENSG00000166159;NM_001039029
ENSG00000215115;NM_001145139
ENSG00000198416;NM_001032297
ENSG00000215113;NM_001145139
ENSG00000185041;XM_002346673
ENSG00000203811;NM_021065
ENSG00000203813;NM_021065
ENSG00000101236;NM_001134337
ENSG00000177460;XM_001722396
ENSG00000135341;NM_145332
ENSG00000197956;NM_014624
ENSG00000105520;NM_001170635
ENSG00000139613;NM_139067
ENSG00000123836;NM_001018053
ENSG00000196934;NM_001128633
ENSG00000005812;NM_012158
ENSG00000139194;NM_031491
ENSG00000183629;NM_001012420
ENSG00000196998;NM_001029896
ENSG00000198848;NM_001025194
ENSG00000198910;NM_001143963
ENSG00000100721;NM_021966
ENSG00000151445;NM_022067
ENSG00000124587;NM_000287
