ANALYSENR	LABORNR	RAUMSCHLUESSEL	LAND	FUNDORT	FUNDPLATZ	ORTNR	LAENGENGRAD	BREITENGRAD	MUSEUM	ZEITSTUFE	KULTUR	C14DATIERUNG	OBJEKTTYP	OBJEKT	VCU	CU	VSN	SN	VPB	PB	VAS	AS	VSB	SB	VAG	AG	VNI	NI	VBI	BI	VAU	AU	VZN	ZN	VCO	CO	VFE	FE	GEWICHT	DOPPELANALYSE
119	00344	66	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	2063	11.000	48.367	Sigmaringen	4			608	Kleeblattnadel		0		10.5		0		0.15		0.62		0.04		0.1		0		0		0		0	6	0.01		
120	00339	66	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	2063	11.000	48.367	Sigmaringen 849	4			608	Kleeblattnadel		0		9.3		0		0.06		0.02		0.02		0.13	6	0.001		0		0		0		0		
121	00340	66	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	2063	11.000	48.367	Sigmaringen 850	4			612	Dreiarmnadel (Kleeblattnadel?)		0		8		0		0.01		0.03		0.01		0.11	6	0.001		0		0		0	6	0.01		
122	00247	65	D	Hagelstadt, Kr. Regensburg	Depot	2070	12.233	48.883	München, Stslg. IV 680	3			702	Ösenringbarren		0	1	0	1	0		0.13		0.4		0.04		0.2	9	0.001	0	0		0	0	0	6	0.01		
123	00248	65	D	Hagelstadt, Kr. Regensburg	Depot	2070	12.233	48.883	München, Stslg. IV 680	3			702	Ösenringbarren		0		0	1	0	7	3	9	2		0.7	6	0.01	7	0.1	0	0		0		0	1	0		
124	00249	65	D	Hagelstadt, Kr. Regensburg	Depot	2070	12.233	48.883	München, Stslg. IV 680	3			702	Ösenringbarren		0		0	1	0		0.55	9	2		0.35		0.1		0.015	0	0		0		0	1	0		
125	00250	65	D	Hagelstadt, Kr. Regensburg	Depot	2070	12.233	48.883	München, Stslg. IV 680	3			702	Ösenringbarren		0		0		0	7	3.5	9	2		0.65	6	0.01	7	0.1	0	0		0		0	1	0		
126	00251	65	D	Hagelstadt, Kr. Regensburg	Depot	2070	12.233	48.883	München, Stslg. IV 680	3			702	Ösenringbarren		0	1	0	1	0		0.06	9	0.008	6	0.04		0.1	9	0.001	0	0		0		0	6	0.01		
127	00412	66	D	Hammel Kr.Augsburg	Einzf.	2112	10.783	48.400	Augsburg VF 124	3			206	Vollgriffdolch: Blatt		0		4.4		0.03	9	0.008		0.01		0.02		0.01		0		0		0		0		0		+2112
128	00413	66	D	Hammel Kr.Augsburg	Einzf.	2112	10.783	48.400	Augsburg VF 124	3			204	Vollgriffdolch: Griff		0		5.8		1.2		0.03		0.12		0.02		0.01		0.001		0		0		0	6	0.01		+2112
129	00414	66	D	Hammel Kr.Augsburg	Einzf.	2112	10.783	48.400	Augsburg VF 124	3			206	Vollgriffdolch: Niet und Blatt		0		4.8		0.95		0.01		0.02		0.04		0.02		0.001		0		0		0	6	0.01		+2112
130	00421	62	D	Hammel Kr.Augsburg	Einzf.	2112	10.783	48.400	Augsburg VF 124	3			205	Vollgriffdolch: Niet		0		3.1		1.15		0.03		0.06		0.08		0.16		0.001		0		0		0	1	0		+2112
131	00070	62	D	Hepsisau, Kr. Nürtingen	Einzf.	2161	9.550	48.583	Stuttgart, WLM A 1213	4			212	Dolchklinge, verz., 5 (?) Niete		0	7	15	1	0		0.39		0.95		0.31		0.49		0.004		0		0	2	0	6	0.01		*  47
132	00144	62	D	Heroldingen, Donau-Ries Kreis	Grab	2167	10.683	48.783	München, Stslg. 1909, 1	3			604	Rudernadel, verziert		0	6	0.01	6	0.01		1.1		3		0.52	9	4		0.01	0	0		0.1	4	0		0.07		
133	00020	62	D	Honau, Kr. Reutlingen	Grab in Höhle	2245	9.267	48.417	Stuttgart, WLM A 30/178e	4			407	Offener Armreif		0		7.1		0.93		0.13		0.07		0.06		0.17		0.015		0		0		0		0.2		
134	00023	62	D	Honau, Kr. Reutlingen	Grab in Höhle	2245	9.267	48.417	Stuttgart, WLM A 30/178g	3			403	Ösenhalsring, klein		0		4.5		0.05		0.35		0.58		0.42		1.3		0		0		0	2	0		0.05		
135	00024	62	D	Honau, Kr. Reutlingen	Grab in Höhle	2245	9.267	48.417	Stuttgart, WLM A 30/178h	3			503	Blechröhrchen		0	1	0		0.04		0.74		0.8		0.53		1.6		0		0		0	2	0		0.1		
136	00222	62	D	Honau, Kr. Reutlingen	Grab in Höhle	2245	9.267	48.417	Slg. Tübingen	3			513	Zierscheibe, Frgm.		0	1	0		0		0.73		1.4		0.9		1.9		0		0		0	2	0	1	0		
137	00223	62	D	Honau, Kr. Reutlingen	Grab in Höhle	2245	9.267	48.417	Slg. Tübingen	3			503	Blechröhrchen, verz.		0	1	0		0		0.68		1.15		0.85	7	2		0		0		0		0		0		
138	00224	62	D	Honau, Kr. Reutlingen	Grab in Höhle	2245	9.267	48.417	Slg. Tübingen	3			403	Ösenring, klein, Bruchstück		0		3.9	1	0		0.77		1.8	7	1.5	7	2	1	0		0		0		0		0		
139	00364	62	D	Honsolgen, Kr. Marktoberdorf	Dep., Schmuckdepot	2246	10.783	48.033	Augsburg 91	3			513	Zierscheibe		0		0.1		0.05		0.05		0.5		0.85		0.51	1	0	0	0		0		0		0		
140	00365	62	D	Honsolgen, Kr. Marktoberdorf	Dep., Schmuckdepot	2246	10.783	48.033	Augsburg 91	3			806	Pfriem mit Mittelschwellung		0		0.01	1	0		0.66		1.22		0.8		1	1	0	0	0		0		0		0		
141	00366	62	D	Honsolgen, Kr. Marktoberdorf	Dep., Schmuckdepot	2246	10.783	48.033	Augsburg 91	3			603	Rollennadel, ellipt. Kopfpl. u. ger. Schaft		0	1	0	1	0		0.13		0.7		0.66		0.6	1	0		0		0		0		0		
142	00382	62	D	Hügelsheim, Kr. Rastatt	Einzf.	2291	8.117	48.800	Karlsruhe C 2023	3			212	Dolch, 5 Niete, verz.		0		8.2		0.04		0.13		0.15		0.2		0.16		0.001		0		0	1	0		0		
143	00486	62	D	Indelhausen, Kr.Münsingen	Einzf. aus Gerberhöhle	2341	9.500	48.300	Stuttgart, WLM	22			707	Gußbarren		0		0		0		0		0.05		0.1	1	0.001	1	0		0		0		0		0.07		
145	00824	66	D	Irlbach, Kr. Straubing	Einzf.	2359	12.750	48.850	Straubing 3781	4			111	Randleistenbeil, Typ Langquaid		0		5.9		0		0.33		0.26		0.18	1	0.001		0.012		0		0		0		0		
146	00477	62	D	Kelsterbach, Kr. Gr. Gerau	Dep. in Grab	2499	8.533	50.067	Darmstadt	25	SKK		528	Spiralring, klein		0		0		0.15		0.08		1.15	9	1.2		0.07		0		0		0		0		0		
147	00476	62	D	Kelsterbach, Kr. Gr. Gerau	Dep. in Grab	2499	8.533	50.067	Darmstadt	25	SKK		801	Kupferperle		0		0		0.56		0		0.69	9	1.2		0.05	6	0.01		0		0		0		0.03		
148	00473	62	D	Kelsterbach, Kr. Gr. Gerau	Dep. in Grab	2499	8.533	50.067	Darmstadt	25	SKK		409	Spirale, hoch		0		0		0.43		0		0.15		0.06		0.04	6	0.01		0		0		0		0.02		
149	00474	62	D	Kelsterbach, Kr. Gr. Gerau	Dep. in Grab	2499	8.533	50.067	Darmstadt	25	SKK		409	Spirale, niedrig		0		0		0.07		0		0.07		0.9		0.09	1	0		0	1	0		0		0		
150	00475	62	D	Kelsterbach, Kr. Gr. Gerau	Dep. in Grab	2499	8.533	50.067	Darmstadt	25	SKK		801	Kupferperle		0		0		0		0.1		0.07		0.5		1.05	1	0		0		0	1	0		0		
151	00480	62	D	Kirch-Brombach, Brombachtal, Odenwaldkreis	Im Eichels, Einzf.	2553	8.950	49.733	Michelstadt	3			110	Randleistenbeil, atypisch, trapezoid		0		0.01		0.15		0.98		1.2	9	1.2		0.05	6	0.1		0		0		0		0.06		
152	00330	62	D	Kirchheim u.T., Kr. Esslingen	Grab 1	2555	9.467	48.650	Kirchheim, Heimatmus.	3			409	Armspirale mit 5 Wind. und eingerollten Enden		0		0.01		0		0.78		1.85		0.4		1.4		0		0		0	2	0		0		
153	00331	62	D	Kirchheim u.T., Kr. Esslingen	Grab 1	2555	9.467	48.650	Kirchheim, Heimatmus.	3			212	Dolch, 4 Niete, verziert		0		0.03		0.02		0.88		1.8		0.4		1.85		0		0		0		0		0		
154	00332	62	D	Kirchheim u.T., Kr. Esslingen	Grab 3	2555	9.467	48.650	Kirchheim, Heimatmus.	3			212	Dolch, 3 Niete		0		0		0		0.3		2.25		0.32		0.91		0		0		0		0		0		
155	00099	65	D	Kollstein, Kr. Parsberg	Einzf., aus Hügelgrab?	2632	11.733	49.167	Regensburg A 646	4			616	Kugelkopfnadel mit verziertem Schaft		0		7.1	6	0.01		0.8		0.21		0.25		0.7		0.04		0		0	2	0		0.04		
156	00065	62	D	Kornwestheim Kr. Ludwigsburg	Einzf.	2663	9.200	48.867	Stuttgart, WLM A 1078	22			104	Flachbeil, Typ?		0		0	1	0		0.55		0.02		0.07		0.001		0.001		0		0		0		0.03		*  49
157	00102	65	D	Krappenhofen Kr.Parsberg	Grab?, wohl aus Grabhügeln	2702	11.700	49.167	München, Stslg.	4			616	Kugelkopfnadel, schräg durchbohrt, verz.		0		9	1	0		0.7		0.5		0.1		1.2	6	0.001		0		0		0	9	0.01		
158	00306	62	D	Krumbach, Umgeb., Günzkreis	Depot	2723	10.367	48.233	München, Stslg. 522	4			704	Spangenbarren		0		0		0		0.27		0.26	6	0.01		0.19	1	0	0	0		0		0		0.07		
159	00307	62	D	Krumbach, Umgeb., Günzkreis	Depot	2723	10.367	48.233	München, Stslg. 522	4			704	Spangenbarren		0		0.54		0.07		1.25		1.45		0.01		1.6		0	0	0		0		0	1	0		
160	00308	62	D	Krumbach, Umgeb., Günzkreis	Depot	2723	10.367	48.233	München, Stslg. 522	4			704	Spangenbarren		0		0		0		1.1		2		0.4		0.5	9	0.1	0	0		0		0		0.14		
161	00309	62	D	Krumbach, Umgeb., Günzkreis	Depot	2723	10.367	48.233	München, Stslg. 522	4			704	Spangenbarren		0		0.56	9	2.5		1.2		0.1		0.01		0.88	1	0	0	0		0		0	1	0		
162	00310	62	D	Krumbach, Umgeb., Günzkreis	Depot	2723	10.367	48.233	München, Stslg. 522	4			704	Spangenbarren		0		0	1	0		0.15		0.08	6	0.01		0.21		0		0		0		0		0.15		
163	00085	62	D	Langenau	Einzf.	2839	10.133	48.483	Langenau, Heimatmus.	5			616	Kugelkopfnadel m. durchb. Kopf u. verz. Schaft		0	9	15	6	0.01		0.16		0.04		0.02		0.31		0.003		0		0		0		0.1		*  51
164	00200	66	D	Langquaid, Kr. Kelheim	Depot	2846	12.083	48.833	München, Stslg.	4			602	Nadel mit Plattenkopf		0		7.1		0.15		0.15	9	0.1		0.02		0.33		0.02		0	1	0		0	9	0.5		
165	00201	66	D	Langquaid, Kr. Kelheim	Depot	2846	12.083	48.833	München, Stslg.	4			602	Nadel mit meißelförmigem Kopf		0		6.3	1	0	6	0.1	6	0.1		0.01		0.21		0.003		0		0		0		0.3		
166	00202	66	D	Langquaid, Kr. Kelheim	Depot	2846	12.083	48.833	München, Stslg.	4			111	Randleistenbeil, Typ Langquaid		0		4.1	1	0		0.1		0.2		0.03		0.43		0.001		0		0		0	9	0.01		
167	00203	66	D	Langquaid, Kr. Kelheim	Depot	2846	12.083	48.833	München, Stslg.	4			111	Randleistenbeil, Typ Langquaid		0		3.9		0.17		0.46		0.43		0.02		0.48	1	0		0		0		0	6	0.01		
168	00204	66	D	Langquaid, Kr. Kelheim	Depot	2846	12.083	48.833	München, Stslg.	4			302	Lanzenspitze		0		12		0.88		0.1		0.17		0.01		0.45		0.002		0		0		0	9	0.3		
169	00207	66	D	Langquaid, Kr. Kelheim	Depot	2846	12.083	48.833	München, Stslg.	4			616	Kugelkopfnadel mit tordiertem Schaft		0	1	0		0		0.44		0.8	6	0.01		0.85		0	0	0		0		0		0		
170	00208	66	D	Langquaid, Kr. Kelheim	Depot	2846	12.083	48.833	München, Stslg.	4			616	Kugelkopfnadel mit tordiertem Schaft		0		4.7		0		1.2		0.52	6	0.01		1		0		0		0		0	1	0		
171	00209	66	D	Langquaid, Kr. Kelheim	Depot	2846	12.083	48.833	München, Stslg.	4			616	Kugelkopfnadel mit tordiertem Schaft		0		2.5		0.04		1.2		0.11	6	0.01		0.27	6	0.001		0		0		0		0		
172	00116	66	D	Langquaid, Kr. Kelheim	Depot	2846	12.083	48.833	München, Stslg.	4			616	Kugelkopfnadel mit tordiertem Schaft		0		0.12	1	0		0.35		0.95		0.07		0.85	6	0.001		0		0		0	6	0.01		
173	00019	62	D	Lauffen a. N., Kr. Heilbronn	Grab	2871	9.150	49.067	Stuttgart, WLM A 35/20	3			605	Schleifennadel od. Horkheimer Nadel		0		0.2		0.05		0.87		1		0.48		3.3		0		0		0	3	0		0.07		
174	00114	66	D	Luckenpaint, Kr. Regensburg	HockerGrab	3089	12.150	48.900	Regensburg A 1422	25	GBK		215	Griffzungendolch, klein		0		0.2		1.2		0.45		0.1		0.25		0.2		0.04		0		0.1	2	0		0.07		*  53
175	00369	66	D	Ludwigsmoos Kr.Neuburg/Donau	Einzf.	3094	11.233	48.667	München, Stslg. 3675	4			212	Stabdolchklinge		0	9	12		0		1.3		0.07		0.03		0.73		0		0		0		0		0.05		
176	00009	62	D	Tuttlingen-Ludwigstal, Kr.Tuttlingen	Grab	5443	8.733	48.000	Stuttgart, WLM A 720	4			403	Halsring		0		0		0		2.1		1.2		0.5		0.001		0.1	0	0		0		0	1	0		
177	00010	62	D	Tuttlingen-Ludwigstal, Kr.Tuttlingen	Grab	5443	8.733	48.000	Stuttgart, WLM A 720	4			614	Dreiarmnadel		0	9	4		0		0.1		0.18		0.17		0.07		0.01	0	0		0		0		0.1		
178	00384	62	D	Mainz	F.O.?	3160	8.267	50.000	Worms 124c	4			616	Kugelkopfnadel		0		8.2		0		0.18		0.03		0.01		0.4		0		0		0		0		0.06		
179	00142	66	D	Manching, Kr. Ingolstadt	Grab 12	3186	11.517	48.717	München, Stslg. 1958, 708	3			604	Rudernadel, verziert		0		0	6	0.01		1.4		2.5		0.38	9	3.5		0.03	0	0		0	3	0		0.08		
180	00143	66	D	Manching, Kr. Ingolstadt	Grab 11	3186	11.517	48.717	München, Stslg. 1958, 710	3			604	Scheibennadel, verziert		0		0	6	0.01		0.97		1.9		0.36	9	3.5		0.04		0		0	2	0		0.06		
181	00206	66	D	Manching, Kr. Ingolstadt	Grab 7	3186	11.517	48.717	München, Stslg. 1937, 219	3			603	Rollennadel mit elliptischer Kopfplatte		0		0	1	0		0.35		0.55		0.48		0.001		0.001	0	0		0		0		0		
182	00428	62	D	Mengen, Umgb., Kr. Sigmaringen	Dep. aus 12 Beilen	3296	9.333	48.050	Stuttgart, WLM A 216b	3			110	Randleistenbeil, Typ Salez (2 An.)		0	1	0		1.6		1.62		1.65		0.21		2.7		0.01	3	0	1	0	4	0	9	0.2		*# 55
183	00429	62	D	Mengen, Umgb., Kr. Sigmaringen	Dep. aus 12 Beilen	3296	9.333	48.050	Stuttgart, WLM A 216b	3			110	Randleistenbeil, Typ Salez (2 An.)		0	1	0		1.6		1.71		1.65		0.2		2.6		0.001	3	0	1	0	4	0	6	0.01		*# 55
184	00354	66	D	Mettenheim	Grab	3315	12.500	48.250	München, Stslg. 1939/35	25	GBK		806	Pfriem		0		0.03		0.28		0.58	9	0.009		0.16		0.05		0.013		0		0		0		0		
185	00311	66	D	Piusheim, Gem. Baiern, Kr. Ebersberg	Dep. Menke Nr. 12	348	11.917	47.967	München, PStslg. 1916.1	4			704	Spangenbarren		0	1	0	6	0.05		0.5		0.12	6	0.01		0.42		0	2	0		0	1	0	9	0.5		
186	00312	66	D	Piusheim, Gem. Baiern, Kr. Ebersberg	Depot	348	11.917	47.967	München, PStslg. 1916.1	4			704	Spangenbarren		0		0.22	0	0.5		2		2		0.6		0.19	7	0.1		0		0		0	1	0		
187	00313	66	D	Piusheim, Gem. Baiern, Kr. Ebersberg	Depot	348	11.917	47.967	München, PStslg. 1916.1	4			704	Spangenbarren		0		0		0		2.1		2.8		0.6		0.09	7	0.1	0	0		0		0	1	0		
188	00314	66	D	Piusheim, Gem. Baiern, Kr. Ebersberg	Depot	348	11.917	47.967	München, PStslg. 1916.1	4			704	Spangenbarren		0		0		0		2.5		2.1		0.7	1	0.001	7	0.1	0	0		0		0		0		
189	00315	66	D	Piusheim, Gem. Baiern, Kr. Ebersberg	Depot	348	11.917	47.967	München, PStslg. 1916.1	4			704	Spangenbarren		0		1.2		0		0.15		0.08	6	0.01		0.07		0		0		0		0		0		
190	00385	62	D	Monsheim	aus Steintumuli	3404	8.217	49.633	Worms 29	3			212	Dolch, 2 Niete		0		0.03		0.03		0.44		1.2		0.88		1.04		0.001	0	0		0	2	0		0		
191	00386	62	D	Monsheim	aus Steintumuli	3404	8.217	49.633	Worms 29	3			610	Rollennadel mit geradem Schaft		0		1.1		0.09		0.65		1.3		0.92		1.23		0.005		0		0		0		0.04		
192	00140	66	D	Moosinning, Kr. Erding	Einzf.	3447	11.850	48.283	München, Stslg. 1926/15	25	GBK?		215	Griffzungendolch, Spitze abgebr.		0	1	0		1.14		0.06		0.05		0.23		0.4		0.03		0		0.3	2	0		0.07		*  57
193	00244	66	D	Mühlhausen Kr.Ebersberg	Depot	3495	12.000	48.150	München, Stslg. H.V. 32-34	3			702	Ösenringbarren		0		0		0		1.35		1.9	7	1.5		0.001	7	0.1	0	0		0		0		0		
194	00245	66	D	Mühlhausen Kr.Ebersberg	Depot	3495	12.000	48.150	München, Stslg. H.V. 32-34	3			702	Ösenringbarren		0		0		0		1.3		1.6	7	1.5		0.001	7	0.1	0	0		0		0		0		
195	00246	66	D	Mühlhausen Kr.Ebersberg	Depot	3495	12.000	48.150	München, Stslg. H.V. 32-34	3			702	Ösenringbarren		0		0		0	9	3.5		0.5		0.6	6	0.01	7	0.1	0	0		0		0	1	0		
196	00281	66	D	München, 'Luitpoldpark'	Depot	3502	11.583	48.150	München, Stslg. 1928:33	4			704	Spangenbarren		0		0		0		1.55		1.9	9	0.6		0.001	9	0.1	0	0		0		0		0		
197	00282	66	D	München, 'Luitpoldpark'	Depot	3502	11.583	48.150	München, Stslg. 1928:33	4			704	Spangenbarren		0		0		0		2		1.65		0.55		0.001	9	0.1	2	0		0		0		0		
198	00283	66	D	München, 'Luitpoldpark'	Depot	3502	11.583	48.150	München, Stslg. 1928:33	4			704	Spangenbarren		0		0.01		0.1		2.9		0.55		0.25	9	3	9	0.01	0	0		0	2	0		0		
199	00284	66	D	München, 'Luitpoldpark'	Depot	3502	11.583	48.150	München, Stslg. 1928:33	4			704	Spangenbarren		0		0		0		2.5		1.85		0.6	1	0.001	7	0.1	0	0		0		0		0		
200	00285	66	D	München, 'Luitpoldpark'	Depot	3502	11.583	48.150	München, Stslg. 1928:33	4			704	Spangenbarren		0		0		0		1.95		2.7		0.6		0.001	7	0.1	0	0		0		0		0		
201	00286	66	D	München, 'Luitpoldpark'	Depot	3502	11.583	48.150	München, Stslg. 1928:33	4			704	Spangenbarren		0		0.01	6	0.1		3		0.3		0.32		2.3	9	0.01	0	0		0	2	0		0.11		
202	00287	66	D	München, 'Luitpoldpark'	Depot	3502	11.583	48.150	München, Stslg. 1928:33	4			704	Spangenbarren		0	1	0		0		1.4		2.25		0.55	6	0.01	9	0.1	0	0		0		0		0		
203	00288	66	D	München, 'Luitpoldpark'	Depot	3502	11.583	48.150	München, Stslg. 1928:33	4			704	Spangenbarren		0	1	0		0		1.55		2.65		0.58		0.001	9	0.1	0	0		0		0	1	0		
204	00289	66	D	München, 'Luitpoldpark'	Depot	3502	11.583	48.150	München, Stslg. 1928:33	4			704	Spangenbarren		0	1	0		0		2.35		2.65		0.57		0.001	9	0.1	0	0		0		0	1	0		
205	00290	66	D	München, 'Luitpoldpark'	Depot	3502	11.583	48.150	München, Stslg. 1928:33	4			704	Spangenbarren		0	1	0		0		1.4		2.2		0.59		0.001	9	0.1	0	0		0		0	1	0		
206	00096	66	D	München-Sendling	Offenb. Grab	3508	11.550	48.117	Regensburg A 803a	3			604	Scheibennadel, verz., ruderförm. Kopfplatte		0		0	6	0.01		0.6		0.82		0.43		3		0.001		0		0	3	0	1	0		
207	00097	66	D	München-Sendling	Offenb. Grab	3508	11.550	48.117	Regensburg A 803b	3			604	Scheibennadel, verz., runde Kopfplatte		0	1	0	1	0		0.8		1.05		0.43		3		0.003		0		0	3	0		0.02		
208	00210	66	D	München-Sendling	Offenb. Grab	3508	11.550	48.117	Regensburg A 803c	3			512	Halbmondförmige Zierscheibe		0	6	0.01	6	0.01		1.2		1.4		0.39		0.76		0.01	0	0		0	2	0		0.06		*  66
209	00139	66	D	München, 'Valleyplatz'	Grab	3504	11.567	48.133	München, Stslg. 1919/67	3			212	Dolchklinge m. eingez. Griffplatte		0		0.03		0.02		1.5		1.9		0.6	7	2		0.002		0		0	3	0		0		
210	00148	66	D	München, 'Wolfratshauser Str.'	Wolfratshauser Str., Grab	3505	11.567	48.117	München, Stslg. 1906/580 u. 641	25	GBK		215	Griffzungendolch		0		0		0.17		0.09		0.05		0.1		0.6		0.01	2	0		0		0	1	0		*  68
211	00149	66	D	München, 'Wolfratshauser Str.'	Wolfratshauser Str., Grab	3505	11.567	48.117	München, Stslg. 1906/641	25	GBK		215	Griffzungendolch		0	1	0		0.11	9	0.006		0.1		0.13		0.3		0.02		0		0		0		0.04		*  70
212	00404	62	D	Nähermemmingen, Donau-Ries Kreis	Grab 4/6	3543	10.483	48.833	Nördlingen 3018	3			503	Blechröhrchen		0		1.8		0.08		0.49		1.5		1.6		0.81		0		0		0		0		0.04		
213	00405	62	D	Nähermemmingen, Donau-Ries Kreis	Grab 5/2	3543	10.483	48.833	Nördlingen	3			417	Spiralröllchen		0	1	0		0.04		1.31		1.9		0.96		1.77		0.001		0		0	3	0		0.2		
214	00431	62	D	Nähermemmingen, Donau-Ries Kreis	Grab 22	3543	10.483	48.833	Nördlingen 5039	3			403	Armspirale, aus Ösenring gebogen		0		0.7		0.6		1.1		2.3		0.41		2.8		0.01		0		0	1	0	6	0.001		*  72
215	00432	62	D	Nähermemmingen, Donau-Ries Kreis	Grab 16/2	3543	10.483	48.833	Nördlingen 5028a	3			407	Armspirale, 2 Windungen, kl.		0		0.25		0.03		0.66		1.45		0.57		2		0.001		0		0		0		0.01		
216	00407	62	D	Nähermemmingen, Donau-Ries Kreis	Grab 22	3543	10.483	48.833	Nördlingen 5038	3			212	Dolch, 3 Niete, verz.		0		0.53		0.2		1.3		3.8	9	1		1.07		0.05		0		0	1	0		0.03		*  74
217	00267	62	D	Neukirchen	Depot	3596	13.017	48.383	München, Stslg.	3			702	Ösenringbarren		0		0		0	9	3.5	9	2		0.6	6	0.01	9	0.1	0	0		0		0	1	0		
218	00268	62	D	Neukirchen	Depot	3596	13.017	48.383	München, Stslg.	3			702	Ösenringbarren		0		0	1	0		2.5	9	2		0.55	6	0.01	7	0.1	0	0		0		0		0.01		
219	00269	62	D	Neukirchen	Depot	3596	13.017	48.383	München, Stslg.	3			702	Ösenringbarren		0		0		0		3.5	9	2		0.7	6	0.01	7	0.1	0	0		0		0	1	0		
220	00270	62	D	Neukirchen	Depot	3596	13.017	48.383	München, Stslg.	3			702	Ösenringbarren		0		0		0.2		2.5	9	2		0.55	6	0.01	7	0.1	0	0		0		0	1	0		
221	00326	66	D	Niedernfels, Gem. Grassau, Kr. Traunstein	Depot	3632	12.467	47.750	München, Stslg. 1926.161	4			705	Zungenbarren		0	1	0	6	0.05		0.8		0.06	6	0.01		1.3		0.01	0	0		0		0		0.2		
222	00327	66	D	Niedernfels, Gem. Grassau, Kr. Traunstein	Depot	3632	12.467	47.750	München, Stslg. 1926.161	4			705	Zungenbarren		0		0.01		0		0.57		0.15		0.01		1.08	6	0.001		0		0		0	6	0.01		
223	00328	66	D	Niedernfels, Gem. Grassau, Kr. Traunstein	Depot	3632	12.467	47.750	München, Stslg. 1926.161	4			705	Zungenbarren		0		0		0		0.27		0.07		0.01		0.75		0		0		0		0	6	0.01		
224	00329	66	D	Niedernfels, Gem. Grassau, Kr. Traunstein	Depot	3632	12.467	47.750	München, Stslg. 1926.161	4			705	Zungenbarren		0		0		0		1.5		0.19		0.01		0.2		0		0		0		0		0.01		
225	00482	62	D	Nieder-Ramstadt, Kr.Darmstadt	Einzf., Siedlung?	3621	8.700	49.817	Niederramstadt, Slg.Politsch	25			104	Flachbeil, dicknackig, Form Nieder-Ramstadt (F7a)		0		0.01		0		0		0.1		0.2		0.001	9	0.1		0		0		0	1	0		
226	00301	66	D	Niederscheyern, Kr.Pfaffenhofen	Depot	3636	11.500	48.500	München, Stslg. H.V. 50-69	4			704	Spangenbarren		0	1	0		0.05		1.2		0.1		0.02	9	3		0.01	0	0		0		0		0.2		
227	00302	66	D	Niederscheyern, Kr.Pfaffenhofen	Depot	3636	11.500	48.500	München, Stslg. H.V. 50-69	4			704	Spangenbarren		0		0.01		0.12		1.3		1.05		0.8		0.15	7	0.1	2	0		0		0		0.4		*  76
228	00303	66	D	Niederscheyern, Kr.Pfaffenhofen	Depot	3636	11.500	48.500	München, Stslg. H.V. 50-69	4			704	Spangenbarren		0		0.2	6	0.05		1.45		1.65		0.8		0.66	7	0.1	0	0		0		0		0.08		
229	00304	66	D	Niederscheyern, Kr.Pfaffenhofen	Depot	3636	11.500	48.500	München, Stslg. H.V. 50-69	4			704	Spangenbarren		0		0.2	1	0		0.82		0.27		0.1		1.3	9	0.01	0	0		0		0		0.2		*  78
230	00305	66	D	Niederscheyern, Kr.Pfaffenhofen	Depot	3636	11.500	48.500	München, Stslg. H.V. 50-69	4			704	Spangenbarren		0		0	1	0		1.1		0.22	6	0.01		0.16	1	0	2	0		0	2	0		0.06		*  80
231	00415	62	D	Nürtingen-Hardt, Kr. Esslingen	Ulrichshöhle, Einzf.	3703	9.333	48.617	Stuttgart, WLM	4			110	Randleistenbeil, Typ Langquaid II, Var. M		0		6.9		0.08		0.51		0.25		0.06		0.48		0.001		0		0		0	1	0		#  83
232	00416	62	D	Nürtingen-Hardt, Kr. Esslingen	Ulrichshöhle, Einzf.	3703	9.333	48.617	Stuttgart, WLM	4			110	Randleistenbeil, Typ Langquaid II, Var. M		0		6.5		0.05		0.4		0.12		0.05		0.41		0.001		0		0		0		0		#  83
233	00417	62	D	Nürtingen-Hardt, Kr. Esslingen	Ulrichshöhle, Einzf.	3703	9.333	48.617	Stuttgart, WLM	4			110	Randleistenbeil, Typ Langquaid II, Var. M		0		6.3		0.05		0.4		0.14		0.05		0.51		0.001		0		0		0		0		#  83
234	00368	66	D	Nussdorf, Kr.Rosenheim	?	3704	12.100	47.733	München, Stslg. 97/295	4			212	Dolch mit 4 Nieten		0		11		0.09		1.12		0.31		0.31		0.46		0.005	2	0		0	2	0		0.4		
235	00007	62	D	Oberwilflingen, Ostalbkreis	Depot	7140	10.422	48.943	Stuttgart, WLM 50/5g	5			710	Gußbrocken		0		0	1	0	9	0.3		0.02		0.3		0.17		0.01	0	0		0.5		0.1		0.2		
236	00001	62	D	Oberwilflingen, Ostalbkreis	Depot	7140	10.422	48.943	Stuttgart, WLM 50/5a	5			114	Absatzbeil		0	9	5		0		0.07	1	0		0		0.07	6	0.001	0	0	1	0		0		0.02		
237	00002	62	D	Oberwilflingen, Ostalbkreis	Depot	7140	10.422	48.943	Stuttgart, WLM 50/5b	5			114	Absatzbeil		0	7	5		0.4	9	0.6		0.1		0.08		0.32	1	0	0	0		0		0.01		0.07		
238	00003	62	D	Oberwilflingen, Ostalbkreis	Depot	7140	10.422	48.943	Stuttgart, WLM 50/5c	5			114	Absatzbeil		0	7	5		0.07		0.18		0.03		0.02		0.16	9	0.002	0	0		0.25		0.01		0.02		
