Type a HCC  normalized	Type b NNL  normalized	Type c Cirr  normalized
2.27	1.04	1.5
1.86	1.07	2.71
0.72	0.87	0.72
1.44	1.03	1.39
1.27	1.19	1.35
1.83	0.79	1.58
1.4	0.88	1.88
1.12	1	1.2
2.9	1.14	2.19
1.59	1.04	1.57
1.46	0.96	2.06
1.54	0.95	1.38
1.21	0.98	1.12
2.26	0.95	1.5
2.31	1.03	1.65
2.23	1.01	2.27
1.12	0.81	1.88
1.68	1	1.25
2.72	0.97	1.72
1.27	1.01	1.5
1.91	1.13	1.3
1.1	0.74	1.15
2.34	1.18	3.28
1.51	0.73	1.28
2.17	1.05	1.22
2.23	0.99	1.76
1.97	0.92	2.22
1.94	1.11	1.47
2.12	1.11	1.98
1.97	0.88	1.84
1.53	1.02	1.45
1.55	0.99	1.21
1.52	0.9	1.11
1.9	1.17	1.49
1.7	0.94	1.83
1.76	0.98	1.15
1.23	1.02	1.44
1.92	0.99	1.23
1.81	0.87	2.33
1.31	0.96	1.34
1.8	0.98	1.36
0.55	1.06	1.3
1.77	1.02	1.91
2.72	1.01	3.87
1.97	0.92	1.05
1.01	0.96	1.13
0.33	0.72	0.87
2.02	0.97	2.57
1.55	1.02	1.38
1.18	1.12	1.48
2.75	1.14	2.87
1.59	0.94	1.36
1.45	0.91	0.9
0.85	0.75	0.84
1.53	1	1.21
1.81	0.93	2.16
3.07	1.13	3.24
1.88	1.03	1.36
0.93	0.98	1.02
0.57	1.1	1.05
0.79	1.03	0.92
1.53	0.94	1.96
1.51	0.96	1.14
2.15	1.04	1.53
1.26	1.1	1.55
2.16	1.04	1.58
1.11	0.87	1.08
2.04	0.92	1.74
1.93	0.93	1.65
1.55	0.97	1.51
2.27	1.03	1.4
1.86	0.93	1.28
1.94	1.06	1.4
1.45	1.09	1.64
2.62	1.1	1.79
1.5	1.03	1.28
1.82	0.96	1.3
2	0.91	1.62
2.37	0.89	1.13
1.64	1.04	1.8
1.76	0.95	1.09
1.96	0.95	0.97
1.63	1.02	1.41
1.79	0.99	1.09
1.39	0.84	1.37
1.27	0.84	1.24
2.36	1.04	1.73
1.22	0.93	1.2
1.88	1.05	1.2
1.45	0.96	1.29
1.05	0.97	1
1.09	0.94	1.33
1.25	0.94	1.17
1.35	1.04	1.58
0.99	0.98	1.42
2.06	1.03	1.34
1.38	1.43	1.36
0.9	0.99	1.35
3.15	1.02	1.78
2.14	0.99	1.32
5.6	0.88	2.23
1.16	1.06	2.04
1.93	0.93	1.46
1.34	1.07	1.18
2.38	1.24	1.58
1.96	1.21	1.77
1.39	0.96	1.43
1.97	1.14	2.11
1.72	0.92	1.41
1.52	0.98	1.39
2.64	1.06	2.36
1.78	1.08	1.42
1.76	1.17	1.45
1.69	0.99	0.97
1.43	1	1.34
1.69	1.04	2.12
1.27	0.96	1.79
1.42	0.91	1.65
1.46	0.92	1.17
1.37	1.02	0.93
1.51	1.13	2.25
1.01	0.87	1.17
1.14	0.89	0.89
2.49	1.03	1.83
1.43	1.25	1.66
1.41	0.98	0.7
1.85	1.05	1.53
2.39	1	2.39
1.6	0.93	1.76
1.23	0.91	0.93
2.62	1.06	3.18
2.11	0.89	4.1
2.02	1.03	0.84
1.48	1.03	1.67
1.36	0.87	1.64
1.44	0.87	1.56
1.31	0.71	0.98
1.78	1.06	1.33
0.55	1	0.85
2.01	1.17	2.48
1.93	0.96	1.82
1.49	0.99	1.64
2.87	1.18	2.46
1.41	0.94	1.73
2.35	0.93	1.44
1.91	1.08	2.64
1.37	1.06	1.07
1.94	1.04	1.83
1.06	0.98	1.98
1.47	1.02	1.13
1.44	0.81	1.43
0.62	1.03	0.92
2.09	0.98	2.41
1.25	0.79	1.47
1.45	0.98	1.18
2.21	1.02	1.35
1.35	0.99	0.81
1.48	1.01	1.08
1.94	0.96	1.69
1.23	0.95	1.06
1.66	1.04	1.86
1.68	1.03	1.76
1.9	1.04	1.31
1.32	1.05	1.92
1.84	1.1	1.7
0.69	0.96	0.56
1.05	0.93	1.13
1.65	0.95	1.49
0.56	0.96	0.65
0.91	0.86	1.25
1.64	0.82	1.39
2.37	1.01	1.53
1.48	1.01	0.93
1.5	1.03	1.44
1.06	1.01	1.47
1.37	1.13	1.23
2.23	0.93	2.48
1.25	0.9	1.42
2.52	1.03	3.86
2.99	1.05	2.12
1.24	0.93	0.95
1.43	1.04	1.21
1.16	0.84	0.8
1.17	0.88	1.09
2.81	1.12	2.72
0.69	0.97	1.07
1.63	0.99	1.54
2.19	1.06	1.71
2.13	1.07	2.56
1.88	1.02	2.53
0.74	1.07	0.79
1.46	0.92	1.03
1.92	1.04	1.63
1.26	0.92	1.59
0.35	0.95	0.54
1.54	1.04	1.16
1.25	0.9	1.15
1.25	1.06	1.01
1.37	0.88	2.13
1.2	1.13	1.59
1.78	1.2	1.48
1.48	1.03	1.41
2.21	0.92	1.22
1.92	0.95	2.09
1.69	0.9	1.19
1.79	1.12	1.65
2	0.96	1.37
1.15	1.02	3.5
1.52	1.01	1.03
2.26	1.08	1.82
1.84	0.93	1.5
1.73	1.05	1.85
2.27	1.04	1.84
1.41	0.91	1.49
1.61	1.04	1.37
1.88	0.98	1.57
1.47	1.01	1.47
1.39	0.98	0.93
1.04	0.84	1.1
1.38	0.92	1.05
1.25	1.14	1.62
1.29	0.95	1.18
2.11	0.94	2
0.77	0.69	1.41
1.2	1.1	2.07
0.94	0.98	0.99
1.79	1.01	1.18
1.84	0.92	1.72
1.55	1.11	3.82
1.47	0.97	1.29
1.53	1.08	1.51
1.69	1.06	0.99
1.75	0.93	1.32
1.13	0.93	1.05
1.19	0.98	0.9
2.24	0.92	1.85
1.33	0.96	1.64
1.29	0.98	1.71
1.67	1.01	1.25
1.7	0.98	2.21
2.84	1.01	1.87
1.6	0.97	1.41
2.14	1.01	2.02
2.38	1.08	1.31
1.32	1.06	1.64
1.64	1	1.59
0.84	1.09	1.67
1.65	1	1.43
2.17	0.97	1.41
1.48	0.96	1.52
1.82	0.93	1.76
1.58	0.97	1.42
2.15	0.98	1.73
1.99	0.95	1.59
1.64	0.91	0.96
2.02	1.02	1.28
2.08	0.89	3.07
1.32	0.97	0.95
0.59	0.7	1.34
2.22	1.06	1.85
1.18	1.25	1.44
1.48	0.97	1.06
1.73	1.03	1.5
1.89	1.11	1.88
1.66	0.96	1.69
0.53	0.85	0.64
1.49	0.94	1.14
1.15	0.95	0.96
1.3	0.78	1.57
1.85	1.08	1.42
1.18	0.89	1.05
1.95	1.12	2.21
1.11	0.93	0.75
1.41	0.95	2.26
1.32	0.97	1.07
2.07	0.95	1.93
1.81	0.93	3.58
1.79	0.88	1.4
2.44	1.04	1.46
2	0.87	1.66
1.99	0.98	1.53
2.03	1.24	1.59
1.74	0.89	1.28
1.6	0.91	1.19
2.16	1.09	1.82
2.08	1.09	1.63
1.31	1.05	1.04
1.53	1.05	1.57
0.89	1.26	1.03
1.56	0.98	1.49
1.02	1.08	1.68
1.21	0.97	0.95
2.17	1.13	1.59
1.49	1	1.09
1.7	1.02	0.97
0.9	0.77	0.63
1.62	1	1.58
2.9	1	2.94
1.98	0.99	1.44
1.45	0.97	1.74
1.7	1.02	1.43
1.49	1.07	2.06
1.29	0.99	1.14
1.56	0.94	1.49
1.49	1.05	1.19
1.66	0.81	1.46
1.51	1.15	2
2.66	1.02	2.17
1.19	0.91	0.85
1.7	0.96	1.04
2.18	1	1.25
1.45	1.01	1.55
1.11	1.02	1.07
1.77	0.91	2.39
2.07	1.15	3.57
0.52	0.57	0.23
2.64	1.08	2.04
1.25	1.03	0.92
1.3	0.9	1.08
2.25	0.95	1.03
1.94	0.99	1.03
1.6	1.06	1.23
1.69	1.04	1.36
3.16	1.11	1.37
2.02	1.12	1.96
0.95	0.93	0.91
1.17	1.07	0.98
1.55	1.06	1.24
0.91	0.94	1.28
1.84	1.05	1.52
1.65	1.04	1.54
2.27	1.06	2.03
1.69	1.19	1.7
1.67	0.98	1.22
2.48	1.07	1.74
0.51	1	0.76
1.28	0.97	1.14
1.92	1.14	1.96
1.64	0.86	1.4
1.87	1.03	1.8
1.57	1	1.47
3.09	1.04	2.21
2.46	0.88	1.79
1.44	0.95	1.84
1.22	0.88	1.04
1.52	1.02	1.83
2.13	1.1	1.62
2.15	0.95	1.34
1.38	0.99	1.48
0.78	1.15	1.29
2.64	1.12	2.07
1.08	1.08	1.65
0.77	0.91	0.84
0.6	0.92	1.04
1.85	1.16	1.9
1.8	1.04	1.71
1.52	0.84	1.47
1.4	1.1	1.35
1.3	1.19	1.71
0.77	1.07	1.56
1.58	1	1.44
1.41	0.95	1.63
1.13	0.95	1.3
1.34	0.9	1.13
0.8	0.88	0.82
1.13	1.21	1.86
1.52	1.05	1.25
1.71	1.04	1.35
1.14	0.98	1.46
1.06	1.01	1.33
1.69	0.98	1.63
2.28	0.94	1.57
2.38	1.17	1.87
2.26	0.95	1.32
1.46	0.93	1.05
2.27	1.11	2.57
2.01	1.11	1.2
1.84	0.9	1.28
1.27	0.87	1.38
1.54	1.01	1.21
1.42	0.99	1.09
1.68	0.97	1.35
0.67	1.05	1.42
2.39	1.13	2.87
1.58	0.94	1.25
1.27	0.94	1.58
3.52	0.93	1.57
2.47	0.93	1.6
0.8	0.96	0.68
1.07	1	1
1.69	0.92	1.06
0.3	1.04	4.57
0.88	0.93	0.59
2.11	1.05	1.29
1.53	1.03	1.3
1.04	0.95	0.9
2.03	1.22	1.42
2.02	1.04	1.48
1.69	1.06	1.22
2.24	1.05	1.44
1.87	0.78	1.59
0.87	1.19	1.06
1.84	1.02	1.38
2.54	1.06	5.66
1.61	1.03	1.04
1.91	0.94	1.26
1.6	1.03	1.89
2.27	1.01	1.8
1.18	0.9	1.82
0.72	0.8	0.86
1.47	1.04	1.14
3.31	1.02	1.45
1.32	1.09	1.17
1.4	0.96	1.35
1.38	0.92	1.63
1.65	0.97	1.33
2.43	1.14	2.01
1.66	1.02	1.44
1.39	0.85	1.29
1.13	0.96	0.99
1.66	0.89	1.22
1.58	1.02	1.42
1.07	0.92	1.09
2	0.98	1.56
1.73	0.96	1.09
2.12	1.02	2.37
1.45	1.01	1.59
1.86	1.15	1.96
1.29	1.03	1.19
1.48	0.86	1.29
0.99	1.02	0.8
2.49	0.97	1.79
1.08	1.13	1.91
1.01	0.91	0.7
1.75	1.09	1.56
1.54	1.07	1.42
2.07	0.96	1.39
1.43	1	1.28
2.35	1.11	1.56
1.03	0.94	0.97
1.72	0.84	3.91
1.09	0.95	0.94
2.54	1	1.61
1.68	1.02	1.46
0.93	0.93	0.9
2.38	1	1.37
1.13	0.89	1.47
1.48	0.98	1.42
2.62	1.01	1.87
3.15	0.93	1.76
1.36	1.06	1.77
2.71	1.06	1.35
1.91	0.88	2.99
0.77	0.89	1.47
2.33	1	1.59
1.78	1.03	1.79
2.02	1.02	1.88
1.33	1.03	1.6
1.26	0.92	1.12
1.34	0.98	1.77
1.5	1.02	1.62
1.97	0.99	2.54
1.2	1.06	1.26
1.74	1.02	1.51
1.73	0.99	1.32
1.85	1.03	1.45
0.86	1.01	1.17
2.03	0.93	1.61
1.34	1.1	2.23
1.26	1.03	1.03
1.38	0.87	1.27
0.89	0.77	0.6
2.28	1.06	1.52
3.09	1.05	1.55
1.54	0.93	1
0.67	1	0.9
2.32	1.11	2.36
2.34	1.04	1.97
0.07	0.69	0.3
1.21	1.15	1.52
1.88	1.17	1.22
0.88	0.9	1.1
1.48	0.8	1.22
1.17	1	1.38
1.55	1.04	1.47
1.78	1.05	1.59
1.92	1.03	1.2
1.63	0.97	1.23
2.16	0.99	1.4
2.86	1.03	2.79
1.98	1.18	1.51
1.29	0.93	1.29
1.71	1.07	1.42
1.49	0.99	1.21
1.13	0.81	2.26
1.15	0.95	1.56
3.57	0.9	2.3
1.47	1.06	1.35
1.55	0.99	2.08
1.82	0.93	1.53
0.88	1.02	1.14
1.41	0.99	1.08
1.2	1.02	1.48
1.05	0.91	1.5
1.33	1.03	1.09
1.89	0.89	1.45
1.26	0.98	1.03
1.56	1.04	1.27
1.56	1.02	1.16
2.52	0.93	1.83
1.33	0.96	1.3
1.35	1.1	1.68
1.19	1.03	1.47
1.49	0.98	1.46
1.63	1.09	1.2
0.91	1.05	0.78
0.87	0.83	1.27
1.96	0.98	1.21
1.77	0.99	1.4
2.06	1.01	1.19
0.48	0.72	0.83
1.64	1.02	1.36
2.09	1.01	2.25
1.42	0.96	1.79
2.16	1.01	1.77
1.07	1.17	0.69
1.59	1.01	2.04
2.23	0.99	1.74
1.22	1.06	0.99
1.49	1	1.95
2.15	0.98	1
2.53	1.18	1.92
1.99	0.95	1.74
1.92	0.96	1.49
2.09	0.91	2.41
1.43	1	1.04
1.52	1.09	0.87
2.22	0.87	2.15
1.57	1	1.47
2.04	1.04	1.72
1.6	0.95	1.79
2.37	1.15	1.66
3.86	1.04	2.45
2.13	0.95	2.43
2.2	1.06	1.41
1.02	0.72	0.51
2	0.81	1.47
0.89	0.96	0.87
1.32	1.01	1.21
1.2	0.91	1.36
1.51	1.01	2.04
1.59	1.1	1.64
1.75	0.98	2.12
1.44	1.01	1.35
1.37	1.02	1.21
2	0.89	1.61
2.04	0.96	2.27
1.72	1.03	1.3
1.65	1	1.22
1.17	1.12	0.96
0.45	0.93	0.91
1.7	1.06	1.36
1.73	1.03	1.62
1.62	0.96	1.68
1.79	0.95	1.25
1.03	0.98	0.93
1.15	0.95	1.66
1.65	1.06	1.41
2.56	0.91	1.82
1.19	0.84	1.01
2.03	0.97	1.38
1.77	0.97	1.4
1.53	0.96	1.69
1.59	1.01	1.59
1.22	1.08	1.37
1.17	0.85	1.34
1.51	1.01	0.92
2.14	1.12	1.95
2	0.91	1.12
2.52	0.95	1.84
1.74	1.05	2.34
1.18	0.97	1.05
2.13	1.1	2.37
1.22	1.12	1.26
1.52	1.05	1.19
1.88	1.09	1.85
1.56	1.11	1.61
1.98	0.97	1.94
1.85	1.11	1.75
1.75	0.94	2.25
1.81	1.15	1.94
1.22	0.84	1.35
0.84	1.04	1.04
0.89	1.12	1.28
0.83	0.85	0.91
2.09	1.12	2.34
2.18	0.96	1.71
1.1	0.98	0.9
2.21	1.01	1.46
1.29	1.05	1.12
1.64	1.1	1.32
2.24	0.99	1.47
1.47	1.1	2.16
2.46	1.09	2.21
1.74	1.04	1.46
0.89	1.15	0.91
1.39	1.04	1.14
1.96	0.95	1.27
1.66	0.85	1.46
0.95	1.01	1.05
1.91	1.06	1.06
2.51	1.08	1.87
2.42	1	1.77
1.87	1.11	1.38
1.66	0.94	1.2
1.64	0.91	1.33
1.63	0.97	1.26
1.69	1	1.34
2.49	1.05	1.67
1.61	1.08	1.34
1.79	1.03	1.11
1.82	0.99	1.45
3.03	0.9	2.61
2.7	1.09	2.37
1.61	1.13	1.75
0.9	1.27	1.43
1.38	1.04	1.51
2.35	1.03	1.65
1.52	1.03	1.25
0.77	0.93	2.42
1.33	0.88	1.76
1.1	0.95	1.21
2.31	1.51	2.87
2.94	1.34	3.54
0.7	0.83	1.24
1.73	0.82	1.29
1.79	1.06	1.37
2.48	0.95	1.4
1.17	1.04	1.34
1.67	0.99	1.21
2.21	0.9	2.21
1.6	1.09	1.36
2.14	1.02	1.65
1.29	0.94	1.91
1.55	1.04	1.43
2.03	1.05	1.25
1.73	0.84	1.37
1.27	0.86	1.31
4.25	1.12	1.46
2.2	1.01	1.44
2.32	1.1	2.36
1.2	0.92	1.31
2.33	1.07	3.03
1.12	0.88	1.2
2.12	1.08	1.14
1.23	0.96	1.15
0.49	0.84	0.54
1.43	0.88	1.18
1.74	1.05	1.36
0.99	1	1.07
1.21	0.92	1.85
1.92	1	1.41
0.45	0.87	0.41
2.32	1.09	2.33
2.3	1.14	4.52
1.87	1.07	2.06
2.34	1.15	3.59
0.77	0.88	0.85
3.19	1.18	2.74
3.24	1.16	2.4
2.2	0.97	1.4
2.72	1.11	2.83
1.82	1.05	1.41
1.37	0.98	1.25
1.74	0.99	1.3
1.49	0.96	1.77
1.61	1.01	1.39
1.6	1.04	1.93
1.01	0.94	1.4
1.08	0.74	1.6
1.82	0.99	2.03
1.2	1.09	1.43
1.63	0.94	1.57
1.74	0.99	1.25
0.9	1.07	1.11
2.13	1.03	1.47
0.78	0.96	0.79
1.39	1.01	1.31
1.63	1.01	1.51
2.17	1.2	2.38
0.99	0.98	1.9
1.73	0.99	1.03
1.95	1.04	1.71
1.89	1.01	1.54
0.79	1.11	1.34
1.75	0.89	1.67
0.78	0.88	0.99
1.57	1.05	1.2
1.25	0.99	1.4
0.97	0.93	1
1.74	1.09	1.62
1.3	0.96	1.41
1.19	0.84	1.18
1.04	0.83	0.73
0.64	0.9	0.96
1.7	0.96	1.52
2.2	1.12	2.01
2.45	1.02	2.1
1.57	0.97	1.01
1.9	1.03	1.59
1.63	0.98	2.17
1.41	1.04	1.29
1.61	0.95	1.51
1.62	1.02	1.44
0.89	0.97	1.1
1.09	1.06	1.23
1.87	0.93	1.62
2.03	1.03	2.5
1.82	1.11	1.59
0.09	0.87	0.34
1.54	1.05	2.36
2.25	1.15	1.36
1.43	1.04	1.15
1.72	0.85	1.19
1.13	0.97	1.56
1.45	0.97	0.99
1.77	0.98	1.75
2.16	1.02	1.27
5.24	1.52	5.13
1.62	1.09	1.48
2.25	1.1	2.07
1.68	0.91	0.95
1.86	0.88	1.63
1.37	0.91	2.34
1.68	0.92	1.51
1.17	0.95	1.88
1.44	1.1	1.42
2.43	1.01	1.38
1.39	1.01	1.34
1.45	1.03	1.67
1.63	1.14	1.76
2.2	0.98	1.27
2.03	1.06	1.87
1.57	1.02	1.48
2.79	1.16	2.69
1.81	1	1.54
1.85	1.01	1.33
2.95	1.11	1.67
1.36	1.02	1.92
2.17	0.92	1.38
1.28	0.92	1.07
1.84	0.94	1.65
0.7	1	1.2
1.02	1.08	1.93
1.48	0.85	1.3
2.76	0.94	1.79
0.71	0.99	2.37
1.48	0.86	1.86
1.19	1.02	2.14
3.66	0.85	1.57
1.35	0.89	1.3
2.04	0.89	2.52
2.76	0.9	1.69
1.07	0.99	1.75
0.25	1.03	0.91
3.86	0.94	1.88
0.4	1.04	0.94
0.55	0.83	1.34
1.79	0.83	1.46
2.2	0.93	1.79
1.45	0.85	1.2
1.43	0.9	1.27
1.75	1	1.56
1.04	0.93	1.2
1.55	0.8	1.57
0.98	0.98	1.83
2.37	1.06	2.04
2.47	0.99	2.1
1.34	1.02	1.54
2.03	0.99	1.89
0.7	0.98	1
1.29	1.04	1.22
0.99	0.89	0.76
1	1.19	1.17
0.47	0.87	0.93
1.93	0.68	1.25
0.82	0.99	0.67
1.39	0.9	1.88
2.37	0.99	3.14
0.71	0.9	2.06
0.83	0.84	1.94
1.17	1.03	3.59
2.62	1.1	5.03
1.6	0.88	1.57
1.31	0.98	1.25
0.69	0.84	1.8
2.27	0.98	1.1
3.3	1.43	31.21
1.54	0.85	1.52
1.92	1.1	1.08
0.95	1.01	1.21
1.75	0.95	1.53
0.84	0.88	0.73
0.97	1.03	1.8
1.29	1.21	1.6
7.47	1.4	5.72
1.13	1.2	1.38
0.37	0.83	1.77
1.47	1.04	1.1
2.01	1.04	2.06
1.91	1.18	2.5
1.51	0.9	2.07
1.05	0.98	1.05
1.39	0.85	1.82
1.72	1.22	2.93
1.35	0.89	1.72
1.09	0.89	0.84
1.95	1.1	2.58
0.97	0.92	0.99
2.52	1.1	2.62
2.19	0.87	2.03
0.98	0.9	1.45
2.01	0.95	1.75
1.48	0.83	1.43
1.19	0.89	0.96
1.25	0.91	1.84
1.31	0.69	1.31
1.28	0.94	1.14
1.68	0.96	2.42
1.37	0.98	1.46
1.44	1.01	1.68
2.81	0.8	2.51
2.63	1.09	2.79
1.29	1.03	2.19
1.78	1.04	1.55
1.09	1.05	1.42
1.2	0.83	1.75
1.77	1.07	2
1.42	1.01	1.53
1.43	0.97	1.18
0.75	1.05	2.51
1.96	0.9	1.4
1.31	1.02	1.2
0.65	0.93	0.53
1.87	0.91	2.56
2.17	0.81	1.89
1.65	0.79	1.11
2.43	0.93	1.07
2.62	0.88	1.35
2.07	1.05	1.6
2.39	1.17	2.25
2.35	0.83	2.13
0.74	0.92	0.92
1.37	1	1.19
1.4	0.92	1.25
2.95	1.32	3.21
1.06	1.04	0.97
1.83	1.1	2.15
0.75	0.84	0.78
1.62	1.13	1.96
2.74	1	2.26
1.15	1	2.43
1.16	1.05	0.91
1.98	1.19	2.45
1.63	0.75	1.33
0.84	1.01	0.66
1.26	1.08	1.26
1.1	1.15	0.99
1.64	1	1.3
1.4	1.1	1.26
2.83	1.04	2.37
3.35	1.14	1.8
2.07	0.76	1.81
1.33	1.1	0.93
1.75	0.8	1.36
1.13	0.68	2.45
1.16	0.98	0.91
1.82	0.93	2.16
0.93	1.04	1.13
0.82	1.06	1.44
1.94	1.15	2.16
1.45	0.95	1.15
1.92	1.08	1.45
1.96	0.86	1.56
1.45	0.99	1.73
1.14	1.04	1.07
1.51	0.94	1.88
0.78	0.98	0.93
2.26	0.93	1.61
2.16	0.91	2.76
0.77	0.86	0.95
1.32	0.96	1.23
1.49	0.99	1.28
1.22	0.94	1.29
1.71	1.03	1.43
0.47	0.76	0.65
2.25	1.15	1.37
1.34	0.93	1.17
1.52	0.86	0.78
0.97	1.26	1.89
2.55	1.01	1.9
1.13	0.82	1.4
1.9	1	1.44
1.05	1.01	1.64
1.41	1.04	2.21
1.39	1.12	14.46
1.45	0.85	1.55
1.34	0.98	1.36
1.93	0.98	2.14
2.48	0.74	2.18
1.87	1	2.22
1.77	0.95	1.48
3.02	0.94	4.2
1.22	0.94	0.92
2.41	0.91	1.69
1.01	0.99	1.55
2.1	0.92	0.95
1.44	1.01	1.21
0.51	0.83	1.06
1.82	1.08	1.83
1.56	0.99	1.03
1.41	0.83	1.89
1.52	0.91	1.7
2.06	0.95	1.5
1.26	1.02	1.62
1.82	1.12	2.07
1.18	1.04	1.54
1.4	0.8	1.61
1.42	0.89	1.2
1.26	0.86	0.96
1.02	0.99	0.67
1.1	0.94	0.97
1.91	1.06	1.76
1.74	0.76	1.08
2.15	0.93	2.65
1.67	0.87	0.84
2.11	0.98	3.59
1.37	1.07	1.18
0.84	0.98	1.36
1.63	0.99	1.49
2.18	1.04	1.75
1.33	1.13	1.36
1.76	0.78	1.36
1.48	0.83	1.78
1.33	1.09	1.48
2.72	0.98	1.99
0.94	0.97	0.91
1.24	0.82	1.41
1.42	0.99	1.48
1.56	0.88	1.43
1.51	0.98	1.61
1.16	0.8	1.26
1.23	1.1	2.56
1.42	1.23	1.98
1.32	0.87	2.11
0.98	1.17	1.18
4.02	0.94	2.43
2.84	1.01	1.71
1.08	0.95	0.82
1.04	0.93	1.38
1.87	1	1.48
1.72	0.88	1.24
0.91	0.98	1.05
1.98	1.16	2.17
1.9	1	1.38
2.02	0.87	1.39
0.89	1.08	0.59
3.47	0.78	2.74
1.24	0.84	1.59
4.12	0.73	3.03
0.75	1.05	1.08
1.29	0.89	2.09
1.29	0.91	1.28
0.73	1.09	0.78
3.48	1.08	2.09
2.08	1	1.87
1.57	0.79	1.38
1.56	0.82	1.74
2.75	1.21	2.18
2.14	0.88	0.75
3.32	1.42	10.1
1.34	1.04	1.94
1.79	0.96	1.43
1.49	1.08	2.19
0.48	1	1.3
1.88	0.81	1.56
1.35	0.87	2.46
1.53	1.1	1.62
2	1.11	1.43
1.45	0.94	1.3
1.45	0.9	1.76
1.13	0.89	1.05
1.76	1.06	1.56
1.3	0.96	2.65
1.17	1.11	0.96
1	1.03	1.29
0.71	0.67	0.54
1.56	1.04	1.54
0.52	0.91	1.41
3.13	0.92	2.49
2.35	1.08	1.98
1.64	0.91	1.39
2.11	1.02	1.43
1.99	0.91	1.6
1.44	0.9	1.31
1.6	0.86	1.72
2.32	1.08	2.77
1.84	0.9	1.31
1.4	0.93	1.97
1.81	1.05	3.17
1.23	1.04	2.52
0.77	0.96	0.92
0.91	1.11	1.81
1.24	0.85	1.27
1.81	0.84	2.28
1.19	0.97	1.69
2.14	0.89	2.38
1.88	1.13	2.95
0.94	0.97	1.2
0.47	1.15	2.15
1.18	0.9	1.25
1.6	0.97	1.45
2.16	1.03	1.62
2.43	0.9	4.67
1.39	0.72	1.51
1.3	0.82	1.4
1.49	0.94	1.6
2.05	0.97	2.06
1.08	0.95	1.52
2.31	1.25	4.31
1.23	0.96	0.72
2.95	0.83	2.01
1.49	1.03	2.36
2.13	1.07	2.02
1.66	0.98	1.06
2.15	0.87	2.12
1.46	0.91	0.86
1.19	0.9	1.28
3.23	0.74	1.66
0.51	0.7	0.08
1.34	0.89	1.73
1.47	1.03	4.23
2.08	0.75	1.83
1.24	0.83	1.15
1.75	0.72	1.3
1.13	0.97	1.43
1.44	0.88	1.62
1.94	0.9	3.01
0.16	0.86	0.51
1.89	0.85	1.51
1.03	0.92	1.16
1.43	1.03	1.31
2.24	0.81	2.65
1	0.96	1.41
2.99	1.05	3.92
1.82	0.94	1.75
0.77	0.67	0.8
0.89	1.21	1.27
1.4	1.06	1.33
2.94	0.99	2.04
2.12	0.86	1.76
3.88	1.01	2.5
1.85	0.78	2.27
1.03	0.82	1.08
1.66	0.87	1.08
1.38	0.83	2.06
0.96	0.94	1.3
1.41	1.07	1.49
1.09	1.05	1.15
1.38	0.88	1.79
2.85	0.95	2.82
0.27	0.92	0.87
0.89	0.99	1.36
1.36	0.98	1.24
0.78	0.75	1.72
2.84	0.81	1.6
1.17	1.08	1.41
1.31	0.81	1.68
1.81	0.96	2.13
1.19	0.9	1.41
1.69	0.89	1.66
1.09	0.96	0.81
0.86	1.13	1.16
1.68	1	1.72
1.25	0.87	1.52
1.28	1.01	1.62
2.78	1.15	2.3
1.06	0.91	1.07
1.3	1	2.01
1.01	1.11	2.22
1.26	0.83	1.22
1.58	1.08	1.57
1.44	0.84	1.8
2.22	1.05	1.35
1.98	0.86	1.55
1.58	0.91	0.93
1.55	1.01	1.82
0.73	0.97	1.8
2.37	1.04	2.16
1.13	0.92	1.44
1.1	0.86	0.79
1.45	1	1.2
1.4	0.83	1.27
0.52	0.55	0.25
1.48	1.11	1.56
1.36	1.09	1.37
1.65	0.91	1.8
1.59	0.81	2.31
1.82	1.06	1.46
1.32	0.85	1.26
0.97	0.92	1.03
1.96	1.02	2.39
1.7	1.01	3.58
1.7	0.97	2.91
1.16	0.96	1.45
0.77	1.07	0.85
1.25	0.83	1.11
1.47	1.17	1.84
1.47	1.16	1.47
2.37	1.19	2.17
0.75	1.02	0.76
2.62	1.07	1.82
1.47	0.86	1.43
0.88	1.02	1.34
1.68	1.03	1.84
1.55	1.07	1.45
1.21	0.8	4.82
1.44	0.93	1.28
1.27	1.16	2.41
0.53	0.98	1.75
1.8	1	2.98
3.07	1.09	1.12
2.46	0.91	1.52
1.12	0.95	0.99
2.11	0.84	1.44
1.38	1.34	2.2
2.12	0.97	1.52
1.4	0.73	2.36
2.21	0.84	1.9
0.84	0.79	0.88
1.69	1.19	1.09
1.92	1	1.53
0.67	0.92	0.96
2.47	1.01	2.21
1.68	0.91	1.16
3.5	0.82	2.17
1.7	1.09	1.43
1.69	0.91	2.55
2.61	0.75	1.9
1.76	1.05	1.72
1.46	1.1	1.5
2.44	0.9	1.85
1.83	1.13	2.96
2.71	0.95	1.88
0.29	0.88	1.62
0.81	0.76	0.8
0.44	0.75	1.09
1.37	1.15	1.74
1.26	0.93	1
1.48	0.86	1.72
1.1	1.07	1.21
1.74	0.98	1.52
2.87	0.96	2.36
5.61	1.1	2.19
1.95	1.03	1.65
5.92	1.41	9.55
1.36	1.01	1.93
4.93	0.99	2.82
0.83	0.81	2.91
2.03	1.03	2.74
0.94	0.94	1.34
1.94	0.9	1.45
1.15	0.82	1.65
2.35	0.95	1.56
1.77	1.09	1.57
